,Year,Commodity,Historical or simulated,Scenario,Mean total minesite cost
232,2017.0,Pt,Historical,Historical,25590065.82985107
233,2017.0,Ag,Historical,Historical,270458.3012100124
234,2017.0,Zn,Historical,Historical,819.3616721050082
235,2018.0,Cu,Historical,Historical,2654.325231915988
236,2018.0,Au,Historical,Historical,23012465.42113928
237,2018.0,Pb,Historical,Historical,981.6507099269455
238,2018.0,Mo,Historical,Historical,18922.92619064107
239,2018.0,Ni,Historical,Historical,6096.798676130414
240,2018.0,Pd,Historical,Historical,16341577.40242931
241,2018.0,Pt,Historical,Historical,19777744.14956345
242,2018.0,Ag,Historical,Historical,285431.8824633737
243,2018.0,Zn,Historical,Historical,827.4440397854829
244,2019.0,Cu,Historical,Historical,2705.016367
245,2019.0,Au,Historical,Historical,21861207.14661
246,2019.0,Pb,Historical,Historical,975.057214
247,2019.0,Mo,Historical,Historical,16433.511439
248,2019.0,Ni,Historical,Historical,5704.059072
249,2019.0,Pd,Historical,Historical,17486498.96794
250,2019.0,Pt,Historical,Historical,19974933.378769
251,2019.0,Ag,Historical,Historical,271057.184893
252,2019.0,Zn,Historical,Historical,783.438919
253,2001.0,Ag,Simulated,0,234513.0004385249
254,2002.0,Ag,Simulated,0,223086.98037864425
255,2003.0,Ag,Simulated,0,213048.30895251076
256,2004.0,Ag,Simulated,0,204459.9464897004
257,2005.0,Ag,Simulated,0,206533.71779669132
258,2006.0,Ag,Simulated,0,213657.08895387844
259,2007.0,Ag,Simulated,0,221343.64750042217
260,2008.0,Ag,Simulated,0,229267.940010536
261,2009.0,Ag,Simulated,0,236572.7253202372
262,2010.0,Ag,Simulated,0,244185.1229478996
263,2011.0,Ag,Simulated,0,251569.0165933987
264,2012.0,Ag,Simulated,0,259719.48527356135
265,2013.0,Ag,Simulated,0,268338.8295239847
266,2014.0,Ag,Simulated,0,276821.3236432528
267,2015.0,Ag,Simulated,0,285048.40672850615
268,2016.0,Ag,Simulated,0,294430.8037615459
269,2017.0,Ag,Simulated,0,304009.6800791591
270,2018.0,Ag,Simulated,0,312422.84120895027
271,2019.0,Ag,Simulated,0,323131.5201160224
272,2001.0,Ag,Simulated,1,277471.8143798692
273,2002.0,Ag,Simulated,1,250012.93242580208
274,2003.0,Ag,Simulated,1,213012.6410353264
275,2004.0,Ag,Simulated,1,194190.12402267905
276,2005.0,Ag,Simulated,1,177497.99643702793
277,2006.0,Ag,Simulated,1,158514.21452563253
278,2007.0,Ag,Simulated,1,150995.16496306637
279,2008.0,Ag,Simulated,1,144150.25801542666
280,2009.0,Ag,Simulated,1,138357.8948378976
281,2010.0,Ag,Simulated,1,132754.61555742062
282,2011.0,Ag,Simulated,1,127818.77413796545
283,2012.0,Ag,Simulated,1,124079.43288142468
284,2013.0,Ag,Simulated,1,120157.83215106858
285,2014.0,Ag,Simulated,1,115873.7566508979
286,2015.0,Ag,Simulated,1,111581.47323238952
287,2016.0,Ag,Simulated,1,106550.31881556843
288,2017.0,Ag,Simulated,1,101217.6823315651
289,2018.0,Ag,Simulated,1,95394.76314714715
