,Year,Commodity,Historical or simulated,Scenario,Mean mine grade
369,2003.0,Ag,Simulated,6,0.0251746444803693
370,2004.0,Ag,Simulated,6,0.0253126431800951
371,2005.0,Ag,Simulated,6,0.0245630289637775
372,2006.0,Ag,Simulated,6,0.0239552164053861
373,2007.0,Ag,Simulated,6,0.0240626955173075
374,2008.0,Ag,Simulated,6,0.0239586209636211
375,2009.0,Ag,Simulated,6,0.0239753169666843
376,2010.0,Ag,Simulated,6,0.024482411680166
377,2011.0,Ag,Simulated,6,0.0242308119680323
378,2012.0,Ag,Simulated,6,0.024359992142209
379,2013.0,Ag,Simulated,6,0.024294555465557
380,2014.0,Ag,Simulated,6,0.0240382272612403
381,2015.0,Ag,Simulated,6,0.0239703762855915
382,2016.0,Ag,Simulated,6,0.0239015388694019
383,2017.0,Ag,Simulated,6,0.0237098860610864
384,2018.0,Ag,Simulated,6,0.0235684586787921
385,2019.0,Ag,Simulated,6,0.0235341773235736
386,2001.0,Ag,Simulated,7,0.0228228331617475
387,2002.0,Ag,Simulated,7,0.022827559860927
388,2003.0,Ag,Simulated,7,0.0221696703143081
389,2004.0,Ag,Simulated,7,0.0217611389829245
390,2005.0,Ag,Simulated,7,0.0214723333355086
391,2006.0,Ag,Simulated,7,0.0207139404403435
392,2007.0,Ag,Simulated,7,0.0205851766321076
393,2008.0,Ag,Simulated,7,0.0202825917089383
394,2009.0,Ag,Simulated,7,0.020155728098449
395,2010.0,Ag,Simulated,7,0.0202563072848515
396,2011.0,Ag,Simulated,7,0.0200557730699027
397,2012.0,Ag,Simulated,7,0.0203371887418835
398,2013.0,Ag,Simulated,7,0.0201721234825727
399,2014.0,Ag,Simulated,7,0.0201945664961257
400,2015.0,Ag,Simulated,7,0.0201444409129243
401,2016.0,Ag,Simulated,7,0.0198416862425695
402,2017.0,Ag,Simulated,7,0.0198290412697247
403,2018.0,Ag,Simulated,7,0.0197879783438135
404,2019.0,Ag,Simulated,7,0.0195932985197249
405,2001.0,Ag,Simulated,8,0.023805493965818
406,2002.0,Ag,Simulated,8,0.0236447445591919
407,2003.0,Ag,Simulated,8,0.0226973070053258
408,2004.0,Ag,Simulated,8,0.0244631581480895
409,2005.0,Ag,Simulated,8,0.0243470531827852
410,2006.0,Ag,Simulated,8,0.0242237199414896
411,2007.0,Ag,Simulated,8,0.0240110514238033
412,2008.0,Ag,Simulated,8,0.0236934360650034
413,2009.0,Ag,Simulated,8,0.0227224606628605
414,2010.0,Ag,Simulated,8,0.0231972524343713
415,2011.0,Ag,Simulated,8,0.0228840769281751
416,2012.0,Ag,Simulated,8,0.0226328568095541
417,2013.0,Ag,Simulated,8,0.0224741374669002
418,2014.0,Ag,Simulated,8,0.0222433642029461
419,2015.0,Ag,Simulated,8,0.0222750800901328
420,2016.0,Ag,Simulated,8,0.0219907962252515
421,2017.0,Ag,Simulated,8,0.0217352045859266
422,2018.0,Ag,Simulated,8,0.0218061615055233
423,2019.0,Ag,Simulated,8,0.0213222853495984
424,2001.0,Ag,Simulated,9,0.0238088450716572
425,2002.0,Ag,Simulated,9,0.0231520640688819
426,2003.0,Ag,Simulated,9,0.0227975411146637
427,2004.0,Ag,Simulated,9,0.0231335385560265
428,2005.0,Ag,Simulated,9,0.0224723378872547
429,2006.0,Ag,Simulated,9,0.0224298721487355
430,2007.0,Ag,Simulated,9,0.0213637685641436
431,2008.0,Ag,Simulated,9,0.0214571145363929
432,2009.0,Ag,Simulated,9,0.02116504799728
433,2010.0,Ag,Simulated,9,0.0207765216863577
434,2011.0,Ag,Simulated,9,0.0205847842913689
435,2012.0,Ag,Simulated,9,0.0205753234639502
436,2013.0,Ag,Simulated,9,0.0202324184085755
437,2014.0,Ag,Simulated,9,0.0201982220782663
438,2015.0,Ag,Simulated,9,0.0199130890034957
439,2016.0,Ag,Simulated,9,0.0199492860811466
440,2017.0,Ag,Simulated,9,0.0194511378119647
441,2018.0,Ag,Simulated,9,0.0195450780118515
442,2019.0,Ag,Simulated,9,0.0190416865666721
443,2001.0,Ag,Simulated,10,0.0269415029485525
444,2002.0,Ag,Simulated,10,0.0262579988233328
445,2003.0,Ag,Simulated,10,0.0261599644474362
446,2004.0,Ag,Simulated,10,0.0258214663344732
447,2005.0,Ag,Simulated,10,0.0258410131894761
448,2006.0,Ag,Simulated,10,0.0252044193188388
449,2007.0,Ag,Simulated,10,0.0248213814654219
450,2008.0,Ag,Simulated,10,0.0254583741838242
451,2009.0,Ag,Simulated,10,0.0257715816508068
452,2010.0,Ag,Simulated,10,0.0260101381970561
453,2011.0,Ag,Simulated,10,0.0263962447063852
454,2012.0,Ag,Simulated,10,0.0257929246090825
455,2013.0,Ag,Simulated,10,0.026105354341139
456,2014.0,Ag,Simulated,10,0.0257566666487648
457,2015.0,Ag,Simulated,10,0.0257487958799746
458,2016.0,Ag,Simulated,10,0.0256101801960793
459,2017.0,Ag,Simulated,10,0.025064703373395
460,2018.0,Ag,Simulated,10,0.0249937648164318
461,2019.0,Ag,Simulated,10,0.0249919901682672
462,2001.0,Ag,Simulated,11,0.024352686679575
463,2002.0,Ag,Simulated,11,0.0232255910326272
464,2003.0,Ag,Simulated,11,0.0216377094260829
465,2004.0,Ag,Simulated,11,0.0227310092060768
466,2005.0,Ag,Simulated,11,0.0217850097022147
467,2006.0,Ag,Simulated,11,0.0197558068177012
468,2007.0,Ag,Simulated,11,0.0197107809343415
469,2008.0,Ag,Simulated,11,0.0191041079218024
470,2009.0,Ag,Simulated,11,0.0184248680329916
471,2010.0,Ag,Simulated,11,0.0180435147363058
472,2011.0,Ag,Simulated,11,0.0180307323661872
473,2012.0,Ag,Simulated,11,0.0179734866958466
474,2013.0,Ag,Simulated,11,0.0183370862591425
475,2014.0,Ag,Simulated,11,0.0179527446715735
476,2015.0,Ag,Simulated,11,0.0180004669884553
477,2016.0,Ag,Simulated,11,0.0177021319505946
478,2017.0,Ag,Simulated,11,0.0178798010663704
479,2018.0,Ag,Simulated,11,0.0177484076858757
480,2019.0,Ag,Simulated,11,0.0175515242880764
481,2001.0,Ag,Simulated,12,0.0229844974471756
482,2002.0,Ag,Simulated,12,0.0232345492823062
483,2003.0,Ag,Simulated,12,0.0230336876298931
484,2004.0,Ag,Simulated,12,0.023845931353668
