,,,Actual,Predicted
Copper,Edges,25,-6.16199544452285,-6.447668857413623
Copper,Edges,26,-6.039824924087844,-6.366828463537503
Copper,Edges,27,-5.917654403652838,-6.285988069661386
Copper,Edges,28,-5.795483883217832,-6.205147675785266
Copper,Edges,29,-5.673313362782826,-6.1243072819091475
Copper,Edges,30,-5.55114284234782,-6.043466888033029
Copper,Edges,31,-5.428972321912815,-5.962626494156909
Copper,Edges,32,-5.3068018014778096,-5.881786100280792
Copper,Edges,33,-5.184631281042804,-5.800945706404672
Copper,Edges,34,-5.062460760607798,-5.7201053125285535
Copper,Edges,35,-4.940290240172792,-5.639264918652435
Copper,Edges,36,-4.818119719737787,-5.558424524776315
Copper,Edges,37,-4.695949199302781,-5.477584130900198
Copper,Edges,38,-4.573778678867775,-5.396743737024078
Copper,Edges,39,-4.451608158432769,-5.315903343147959
Copper,Edges,40,-4.3294376379977635,-5.235062949271841
Copper,Edges,41,-4.207267117562758,-5.154222555395721
Copper,Edges,42,-4.085096597127753,-5.0733821615196035
Copper,Edges,43,-3.9629260766927468,-4.992541767643484
Copper,Edges,44,-3.840755556257741,-4.911701373767365
Copper,Edges,45,-3.718585035822735,-4.830860979891247
Copper,Edges,46,-3.596414515387729,-4.750020586015127
Copper,Edges,47,-3.4742439949527233,-4.6691801921390095
Copper,Edges,48,-3.3520734745177183,-4.58833979826289
Copper,Edges,49,-3.2299029540827124,-4.507499404386771
Copper,Edges,50,-3.1077324336477066,-4.426659010510653
Gold,Values,0,1.0,1.0
Gold,Values,1,1.0,0.0
Gold,Values,2,1.0,1.0
Gold,Values,3,0.0,0.0
Gold,Values,4,0.0,0.0
Gold,Values,5,1.0,0.0
Gold,Values,6,1.0,1.0
Gold,Values,7,3.0,2.0
Gold,Values,8,0.0,4.0
Gold,Values,9,1.0,1.0
Gold,Values,10,3.0,6.0
Gold,Values,11,4.0,6.0
Gold,Values,12,4.0,8.0
Gold,Values,13,1.0,12.0
Gold,Values,14,2.0,11.0
Gold,Values,15,8.0,19.0
Gold,Values,16,8.0,11.0
Gold,Values,17,8.0,12.0
Gold,Values,18,8.0,19.0
Gold,Values,19,9.0,17.0
Gold,Values,20,17.0,13.0
Gold,Values,21,6.0,18.0
Gold,Values,22,10.0,15.0
Gold,Values,23,9.0,10.0
Gold,Values,24,8.0,8.0
Gold,Values,25,9.0,10.0
Gold,Values,26,7.0,4.0
Gold,Values,27,15.0,7.0
Gold,Values,28,12.0,5.0
Gold,Values,29,12.0,8.0
Gold,Values,30,10.0,4.0
Gold,Values,31,11.0,14.0
Gold,Values,32,16.0,10.0
Gold,Values,33,16.0,12.0
Gold,Values,34,9.0,8.0
Gold,Values,35,10.0,6.0
Gold,Values,36,9.0,11.0
Gold,Values,37,11.0,9.0
