,Commodity,Year,Construction,Electrical,Jewelry,Other,Bar and coin,Industrial,Transport
28,Al,2010.0,1.7281016580508242,2.303834218187618,,3.6414561014618347,,2.5852783386897094,6.572183987306359
29,Al,2011.0,1.7665981217708073,2.3569670548070505,,3.7231408576320826,,2.647594987456754,6.758757360182599
30,Al,2012.0,1.869294405086138,2.494970664052025,,3.941053224506062,,2.803352191990936,7.198255731021545
31,Al,2013.0,1.9337210106259914,2.579321877173599,,4.080261696481172,,2.903552483270165,7.511154852957624
32,Al,2014.0,2.026530893949628,2.699219350613767,,4.283677495627014,,3.0454014654267896,7.950309820965165
33,Al,2015.0,2.1008063031510584,2.795234758634407,,4.457558271773404,,3.162714695488492,8.345823909144157
34,Al,2016.0,2.1913154035560547,2.916822513472854,,4.6753389465667885,,3.3084391375167796,8.843541255275642
35,Al,2017.0,2.26891950776179,3.0247983649038552,,4.871375880756639,,3.4376678820362936,9.320338066276916
36,Al,2018.0,2.387005942964016,3.1803666471895378,,5.172460267604884,,3.6246178914345877,9.971341832432094
37,Al,2019.0,2.470646078607847,3.2973389212014754,,5.409758198684451,,3.7727122054302384,10.526989936806062
38,Au,2001.0,0.0011130137689313788,26.875003372849903,331.6962646754504,38.6806246904806,465.9604438115845,,
39,Au,2002.0,0.0011731589019186085,28.31774849920819,349.50289199658926,40.75713727663574,490.9748527347132,,
40,Au,2003.0,0.0012373393913658666,29.663921002537247,368.53201864580063,42.97603612611463,517.6664348255017,,
41,Au,2004.0,0.001257647631936098,29.456868936302453,374.52676511353,43.67314820349326,525.978770329057,,
42,Au,2005.0,0.0012885112409072063,29.23665549857833,383.7030750729447,44.73844358974644,538.6927783266747,,
43,Au,2006.0,0.001324108837435001,29.390393810118667,394.34753114906255,45.96901309613095,553.3526155022594,,
44,Au,2007.0,0.0013560602048026304,29.757142155826667,403.9846047774349,47.071926025811095,566.4292478443762,,
45,Au,2008.0,0.0013841146475814922,30.045600049014325,412.56954728537005,48.034596396994935,577.7945347379341,,
46,Au,2009.0,0.001412248201616113,30.191187641307664,421.3274776959303,48.98655953964615,589.0951889224011,,
47,Au,2010.0,0.0014476943313502628,30.404065131657724,432.470640646061,50.162139899773656,603.3102702696549,,
