,,,Head Grade (%)
496,Gold,45,5.4000000000000005e-05
496,Gold,48,5.300000000000001e-05
496,Gold,4,4.9e-05
496,Gold,29,4.600000000000001e-05
496,Gold,6,4.3e-05
496,Gold,28,3.9000000000000006e-05
496,Gold,13,4e-05
496,Gold,3,3.4000000000000007e-05
496,Gold,14,3.2000000000000005e-05
496,Gold,42,8.78799e-05
496,Gold,33,0.0001061912
496,Gold,30,9.897350000000001e-05
496,Gold,20,7.13861e-05
496,Gold,26,8.705310000000002e-05
496,Gold,27,7.80952e-05
496,Gold,47,6.900170000000001e-05
496,Gold,11,6.900170000000001e-05
496,Gold,8,6.900170000000001e-05
496,Gold,36,6.900170000000001e-05
496,Gold,49,4.8e-05
496,Gold,9,4.8e-05
355,Lead,44,4.206512
355,Lead,25,4.373115
355,Lead,38,6.181574
355,Lead,17,5.417494
355,Lead,37,4.996429
355,Lead,39,4.278078
355,Lead,16,4.125162
355,Lead,46,4.5
1036,Copper,44,0.321574
1036,Copper,25,0.332909
1036,Copper,38,0.333345
1036,Copper,17,0.395586
1036,Copper,37,0.418001
1036,Copper,39,0.375517
1036,Copper,16,0.33439
1036,Copper,46,0.298411
1036,Copper,10,0.248973
1036,Copper,21,0.243746
1036,Copper,40,0.35
1036,Copper,5,0.35
1036,Copper,45,0.35
1036,Copper,48,0.35
1036,Copper,4,0.35
1036,Copper,29,0.35
1036,Copper,6,0.3
1036,Copper,28,0.25
1036,Copper,13,0.221337
1036,Copper,3,0.25
1036,Copper,14,0.3
1036,Copper,42,0.35
1036,Copper,33,0.35
1036,Copper,30,0.35
1036,Copper,20,0.35
1036,Copper,26,0.35
1036,Copper,27,0.35
1036,Copper,47,0.35
1036,Copper,11,0.35
1036,Copper,8,0.35
1036,Copper,36,0.35
1036,Copper,49,0.35
1036,Copper,9,0.35
1036,Copper,0,0.35
1036,Copper,34,0.35
1036,Copper,43,0.35
1036,Copper,32,0.35
1036,Copper,12,0.35
1036,Copper,31,0.35
1036,Copper,23,0.35
1036,Copper,2,0.35
1036,Copper,41,0.35
1036,Copper,15,0.35
1036,Copper,22,0.35
1036,Copper,24,0.35
1036,Copper,18,0.35
1036,Copper,7,0.35
891,Gold,5,0.00011214740000000001
891,Gold,45,7.4e-05
891,Gold,48,7.1e-05
891,Gold,4,5.2000000000000004e-05
891,Gold,29,6.2e-05
891,Gold,6,6.1e-05
891,Gold,28,5.8e-05
891,Gold,13,5.500000000000001e-05
891,Gold,3,3.7e-05
891,Gold,14,5.4000000000000005e-05
891,Gold,42,4.5e-05
891,Gold,33,4.5e-05
891,Gold,30,3.5e-05
891,Gold,20,3.7e-05
891,Gold,26,3.6e-05
891,Gold,27,4.53851e-05
891,Gold,47,5.6191100000000005e-05
891,Gold,11,5.72717e-05
891,Gold,8,3.89015e-05
891,Gold,36,4.32239e-05
891,Gold,49,9.617310000000001e-05
891,Gold,9,5.72717e-05
891,Gold,0,4.43045e-05
891,Gold,34,7.34806e-05
891,Gold,43,0.0001
891,Gold,32,0.0001
891,Gold,12,0.0001
891,Gold,31,0.0001
158,Copper,26,1.56
158,Copper,27,1.8
158,Copper,47,1.92
158,Copper,11,1.79
158,Copper,8,1.72
158,Copper,36,1.69
158,Copper,49,1.49
158,Copper,9,1.54
158,Copper,0,1.59
158,Copper,34,1.52
158,Copper,43,1.44
158,Copper,32,1.33
158,Copper,12,1.26
158,Copper,31,1.68
134,Copper,44,0.7
134,Copper,25,0.68
134,Copper,38,0.73
134,Copper,17,0.69
134,Copper,37,0.76
134,Copper,39,0.67
134,Copper,16,0.69
134,Copper,46,0.68
134,Copper,10,0.59
134,Copper,21,0.83
134,Copper,35,0.79
134,Copper,40,0.81
134,Copper,5,0.51
134,Copper,45,0.67
134,Copper,48,0.67
134,Copper,4,0.67
134,Copper,28,0.63
134,Copper,13,0.63
134,Copper,3,0.546977
134,Copper,14,0.887982
134,Copper,42,1.226384
134,Copper,33,1.201627
134,Copper,30,0.745301
134,Copper,20,0.53985
134,Copper,26,0.6
134,Copper,27,0.55
134,Copper,47,0.55
134,Copper,11,0.55
134,Copper,8,0.55
134,Copper,36,0.55
134,Copper,49,0.55
134,Copper,9,0.55
134,Copper,0,0.55
134,Copper,34,0.55
134,Copper,43,0.55
134,Copper,32,0.55
134,Copper,12,0.55
134,Copper,31,0.55
134,Copper,23,0.55
134,Copper,2,0.55
134,Copper,41,0.55
134,Copper,15,0.55
134,Copper,22,0.55
134,Copper,24,0.55
134,Copper,18,0.55
134,Copper,7,0.55
340,Molybdenum,16,0.305
340,Molybdenum,46,0.305
340,Molybdenum,10,0.305
340,Molybdenum,21,0.305
340,Molybdenum,35,0.305
340,Molybdenum,1,0.305
340,Molybdenum,19,0.305
340,Molybdenum,40,0.305
340,Molybdenum,5,0.305
340,Molybdenum,45,0.305
340,Molybdenum,48,0.305
340,Molybdenum,4,0.305
340,Molybdenum,29,0.305
340,Molybdenum,6,0.305
340,Molybdenum,28,0.305
340,Molybdenum,13,0.305
340,Molybdenum,3,0.305
340,Molybdenum,14,0.305
479,Zinc,44,3.0
479,Zinc,25,3.0
479,Zinc,38,3.0
479,Zinc,17,3.0
479,Zinc,37,3.07
479,Zinc,39,3.134718
479,Zinc,16,3.039076
479,Zinc,46,3.147941
479,Zinc,10,3.0
479,Zinc,21,3.3
479,Zinc,35,3.248767
479,Zinc,1,3.494393
479,Zinc,19,3.676327
479,Zinc,4,2.14
479,Zinc,6,2.35
479,Zinc,28,2.86
479,Zinc,13,3.39
479,Zinc,3,3.24
479,Zinc,14,3.19
479,Zinc,42,3.25
479,Zinc,30,3.11
479,Zinc,20,3.0
479,Zinc,26,3.1
479,Zinc,27,3.2
479,Zinc,47,3.2
479,Zinc,11,3.2
479,Zinc,8,3.2
770,Zinc,44,3.0
770,Zinc,25,3.0
770,Zinc,38,3.0
770,Zinc,17,3.0
770,Zinc,37,3.0
770,Zinc,39,3.0
770,Zinc,16,3.0
770,Zinc,46,3.0
770,Zinc,21,3.0
770,Zinc,35,3.0
770,Zinc,1,3.0
770,Zinc,19,3.0
770,Zinc,40,3.47373
770,Zinc,6,3.5
770,Zinc,28,3.41
770,Zinc,13,3.44
770,Zinc,3,3.71
770,Zinc,14,3.53
770,Zinc,42,3.6
770,Zinc,33,3.6
770,Zinc,30,3.5
770,Zinc,20,3.6
770,Zinc,26,3.5
770,Zinc,27,3.5
770,Zinc,47,3.5
770,Zinc,11,3.5
770,Zinc,8,3.5
421,Copper,44,0.65
421,Copper,25,0.62
421,Copper,38,0.63
421,Copper,17,0.62
421,Copper,37,0.65
421,Copper,39,0.61
421,Copper,16,0.61
421,Copper,46,0.62
421,Copper,10,0.55
421,Copper,21,0.57
421,Copper,35,0.73
421,Copper,1,0.69
421,Copper,19,0.67
421,Copper,40,0.627812
421,Copper,5,0.53
421,Copper,45,0.63
421,Copper,48,0.53
421,Copper,4,0.58
421,Copper,29,0.64
421,Copper,6,0.53
421,Copper,28,0.43
421,Copper,13,0.42
421,Copper,3,0.55
421,Copper,14,0.56
421,Copper,42,0.304324
421,Copper,33,0.502474
421,Copper,30,0.425646
421,Copper,20,0.56
421,Copper,26,0.43
421,Copper,27,0.43
421,Copper,47,0.43
421,Copper,11,0.43
421,Copper,8,0.43
421,Copper,36,0.43
421,Copper,49,0.43
421,Copper,9,0.43
421,Copper,0,0.38
421,Copper,34,0.38
421,Copper,43,0.38
421,Copper,32,0.38
421,Copper,12,0.38
421,Copper,31,0.38
726,Zinc,40,7.3
726,Zinc,5,7.3
726,Zinc,45,7.3
726,Zinc,48,6.0
726,Zinc,4,6.0
726,Zinc,42,6.04
726,Zinc,33,6.0
726,Zinc,30,7.1
726,Zinc,20,5.9
726,Zinc,26,5.9
970,Silver,44,0.0053142834000000005
970,Silver,25,0.0051428551000000005
970,Silver,38,0.0052457123
970,Silver,17,0.0049371407
970,Silver,37,0.0042514267
970,Silver,39,0.004045712700000001
970,Silver,16,0.0037900856
970,Silver,46,0.0047078911
970,Silver,10,0.0042266598
970,Silver,21,0.0039544098
970,Silver,35,0.0035283836
970,Silver,1,0.0028540239
970,Silver,19,0.0032155121000000003
970,Silver,40,0.002615806
970,Silver,5,0.0031306133
970,Silver,45,0.0027417551000000003
970,Silver,48,0.0022429974
970,Silver,4,0.002
970,Silver,29,0.002
970,Silver,6,0.002
970,Silver,28,0.0018171421
970,Silver,13,0.0018560057000000002
970,Silver,3,0.0018950058
970,Silver,14,0.0019548502
970,Silver,42,0.0021677771
970,Silver,33,0.0019584005
970,Silver,30,0.0018211632000000003
970,Silver,20,0.0015995646000000001
970,Silver,26,0.0017944313000000003
970,Silver,27,0.0015212493
970,Silver,47,0.0014798590000000003
970,Silver,11,0.0013067904
970,Silver,8,0.0015402886
970,Silver,36,0.0017226883
970,Silver,49,0.0014938556
970,Silver,9,0.0014638629000000001
970,Silver,0,0.001653372
970,Silver,34,0.0015287359000000001
970,Silver,43,0.0012488046
970,Silver,32,0.0012108139
970,Silver,12,0.0011123937
970,Silver,31,0.0012072593
970,Silver,23,0.0010475206000000001
970,Silver,2,0.0012183676000000001
970,Silver,41,0.0015791679000000001
970,Silver,15,0.0012000000000000001
970,Silver,22,0.0012000000000000001
970,Silver,24,0.0012000000000000001
970,Silver,18,0.0012000000000000001
970,Silver,7,0.0012000000000000001
353,Zinc,44,22.5
353,Zinc,25,19.9
353,Zinc,38,18.4
353,Zinc,17,18.799999
353,Zinc,37,19.0
353,Zinc,39,18.700001
353,Zinc,16,20.299999
353,Zinc,46,21.4
353,Zinc,10,20.799999
353,Zinc,21,21.0
353,Zinc,35,19.9
353,Zinc,1,21.1
353,Zinc,19,21.700001
353,Zinc,40,21.6
353,Zinc,5,21.700001
353,Zinc,45,20.6
353,Zinc,48,20.200001
353,Zinc,4,20.1
353,Zinc,29,20.9
353,Zinc,6,18.200001
353,Zinc,28,19.1
353,Zinc,13,18.200001
353,Zinc,3,17.0
353,Zinc,14,16.6
353,Zinc,42,16.700001
353,Zinc,33,17.059999
353,Zinc,30,15.1
353,Zinc,20,15.7
353,Zinc,26,16.0
353,Zinc,27,15.4
353,Zinc,47,15.5
353,Zinc,11,15.3
353,Zinc,8,15.0
353,Zinc,36,14.8
353,Zinc,49,14.5
353,Zinc,9,14.0
353,Zinc,0,14.0
353,Zinc,34,14.0
353,Zinc,43,14.0
353,Zinc,32,14.0
353,Zinc,12,12.0
648,Gold,17,0.0006959952000000001
648,Gold,37,0.0005999959
648,Gold,39,0.0005554247
648,Gold,16,0.0006411384
648,Gold,46,0.0011245636
648,Gold,10,0.00095
648,Gold,1,0.0014
648,Gold,19,0.00143
648,Gold,40,0.00135
648,Gold,5,0.0014412804
648,Gold,45,0.0015325608000000001
648,Gold,48,0.0017108452
648,Gold,4,0.0015771319000000002
648,Gold,29,0.0012754197
648,Gold,6,0.0013988474
648,Gold,28,0.0016148458000000002
648,Gold,13,0.0016594169999999998
648,Gold,3,0.0016294294
648,Gold,14,0.0019620285
648,Gold,42,0.0018820000000000002
648,Gold,33,0.0017040001
648,Gold,30,0.001501
648,Gold,20,0.001479
648,Gold,26,0.0013800000000000002
648,Gold,27,0.00141
648,Gold,47,0.00141
648,Gold,11,0.00141
648,Gold,8,0.00141
648,Gold,36,0.00141
648,Gold,49,0.0013000000000000002
648,Gold,9,0.0013000000000000002
648,Gold,0,0.0013000000000000002
648,Gold,34,0.00125
648,Gold,43,0.00125
648,Gold,32,0.00125
648,Gold,12,0.00125
648,Gold,31,0.00125
648,Gold,23,0.0012000000000000001
648,Gold,2,0.0012000000000000001
648,Gold,41,0.0012000000000000001
648,Gold,15,0.0012000000000000001
648,Gold,22,0.0012000000000000001
648,Gold,24,0.0012000000000000001
648,Gold,18,0.0012000000000000001
648,Gold,7,0.0012000000000000001
599,Copper,16,0.351063
599,Copper,46,0.348649
599,Copper,10,0.329181
599,Copper,21,0.315363
599,Copper,35,0.305385
599,Copper,1,0.298794
599,Copper,19,0.291559
599,Copper,40,0.282236
599,Copper,5,0.266551
599,Copper,45,0.253985
599,Copper,48,0.243643
599,Copper,4,0.233844
599,Copper,29,0.224705
599,Copper,6,0.217056
599,Copper,28,0.209175
599,Copper,13,0.204424
599,Copper,3,0.198457
599,Copper,14,0.194018
599,Copper,42,0.19029
599,Copper,33,0.185977
599,Copper,30,0.181825
599,Copper,20,0.179539
599,Copper,26,0.176872
599,Copper,27,0.174338
599,Copper,47,0.172282
599,Copper,11,0.170457
599,Copper,8,0.168829
599,Copper,36,0.16737
599,Copper,49,0.166057
599,Copper,9,0.164872
599,Copper,0,0.163798
599,Copper,34,0.162822
599,Copper,43,0.161932
599,Copper,32,0.161118
599,Copper,12,0.160372
599,Copper,31,0.159686
599,Copper,23,0.158781
787,Palladium,25,0.0019210526000000003
787,Palladium,38,0.002289658
787,Palladium,17,0.0021028572
787,Palladium,37,0.0017646235
787,Palladium,39,0.0017656471
787,Palladium,16,0.0018321127000000001
787,Palladium,46,0.0018115829000000003
787,Palladium,10,0.0017427874
787,Palladium,21,0.0016839867000000002
787,Palladium,35,0.0017406531999999998
787,Palladium,1,0.0013815105000000002
787,Palladium,19,0.0013523129000000001
787,Palladium,40,0.0013427
787,Palladium,5,0.0012714183000000002
787,Palladium,45,0.001294243
787,Palladium,48,0.0012656983
787,Palladium,4,0.001213673
787,Palladium,29,0.0013164420000000001
787,Palladium,6,0.0012162629000000002
787,Palladium,28,0.0012411640000000001
787,Palladium,13,0.0012950749
787,Palladium,3,0.0011903471
787,Palladium,14,0.0011926819
787,Palladium,42,0.0011405333
787,Palladium,33,0.0011889026
787,Palladium,30,0.0011610499000000002
787,Palladium,20,0.001156392
787,Palladium,26,0.00116
787,Palladium,27,0.00115
787,Palladium,47,0.00115
787,Palladium,11,0.00115
787,Palladium,8,0.00115
787,Palladium,36,0.0011400000000000002
787,Palladium,49,0.0011400000000000002
787,Palladium,9,0.0011300000000000001
787,Palladium,0,0.0011300000000000001
787,Palladium,34,0.00112
787,Palladium,43,0.00112
787,Palladium,32,0.00111
787,Palladium,12,0.00111
787,Palladium,31,0.0011
787,Palladium,23,0.0011
787,Palladium,2,0.00109
787,Palladium,41,0.00109
787,Palladium,15,0.0010800000000000002
787,Palladium,22,0.0010800000000000002
787,Palladium,24,0.00107
787,Palladium,18,0.00107
787,Palladium,7,0.00107
675,Molybdenum,21,0.12
675,Molybdenum,35,0.13
675,Molybdenum,1,0.106
675,Molybdenum,19,0.084
675,Molybdenum,40,0.076
675,Molybdenum,5,0.137
675,Molybdenum,45,0.173
675,Molybdenum,48,0.06
675,Molybdenum,4,0.09
675,Molybdenum,29,0.131
675,Molybdenum,6,0.139
675,Molybdenum,28,0.116
675,Molybdenum,13,0.088
675,Molybdenum,3,0.11
675,Molybdenum,14,0.103
678,Gold,44,6.500000000000001e-05
678,Gold,25,6.9e-05
678,Gold,38,5.8e-05
678,Gold,17,6.500000000000001e-05
678,Gold,37,7e-05
678,Gold,39,5.6999999999999996e-05
678,Gold,16,6.7e-05
678,Gold,46,6.2e-05
678,Gold,10,6e-05
678,Gold,21,4.86e-05
678,Gold,35,5.8e-05
678,Gold,1,3.73235e-05
678,Gold,19,4.43001e-05
678,Gold,40,2.70879e-05
678,Gold,5,3.63994e-05
678,Gold,45,3.5e-05
678,Gold,48,3.49886e-05
678,Gold,4,4.06319e-05
678,Gold,29,3.03158e-05
1073,Gold,17,0.0001028571
1073,Gold,37,9.6e-05
1073,Gold,39,9.6e-05
1073,Gold,16,0.0001028571
1073,Gold,46,0.0001062857
1073,Gold,10,0.00011314280000000001
1073,Gold,21,0.0001062856
1073,Gold,35,0.00010285700000000001
1073,Gold,1,9.25713e-05
1073,Gold,19,9.94285e-05
1073,Gold,40,9.6e-05
1073,Gold,5,0.0001
1073,Gold,45,0.00010200000000000001
1073,Gold,48,0.000101
1073,Gold,4,8.6e-05
1073,Gold,29,8.2e-05
1073,Gold,6,7.1e-05
1073,Gold,28,9e-05
1073,Gold,13,7.7e-05
1073,Gold,3,7.2e-05
1073,Gold,14,7.7e-05
1073,Gold,42,9.77877e-05
1073,Gold,33,0.00010971420000000001
1073,Gold,30,8.810150000000001e-05
1073,Gold,20,7.54285e-05
1073,Gold,26,7.872670000000001e-05
1073,Gold,27,8.914280000000001e-05
1073,Gold,47,8.914280000000001e-05
1073,Gold,11,8.914280000000001e-05
1073,Gold,8,8.914280000000001e-05
1073,Gold,36,9.25714e-05
1073,Gold,49,7.54285e-05
1067,Silver,44,0.0625567139
1067,Silver,25,0.0713137878
1067,Silver,38,0.07097093510000001
1067,Silver,39,0.0809480103
1067,Silver,16,0.0881
1067,Silver,46,0.078
1067,Silver,10,0.0810508667
1067,Silver,21,0.08
1067,Silver,35,0.0746
1067,Silver,1,0.06760000000000001
1067,Silver,19,0.0675
1067,Silver,40,0.057100000000000005
1067,Silver,5,0.0623
1067,Silver,45,0.054102856399999996
1067,Silver,48,0.0529714294
1067,Silver,4,0.0469371429
