,,,Actual,Predicted,Commodity
0,Copper,345,-6.694624512235994,-6.745968554479047,Copper
0,Copper,501,-6.1537923344010785,-6.65716195783106,Copper
0,Copper,789,-6.290485880341655,-6.407509828750796,Copper
0,Copper,429,-8.138456998957869,-6.56513361652069,Copper
0,Copper,700,-6.745987256344364,-6.414365847444104,Copper
0,Copper,485,-7.108314869505559,-6.811143674883501,Copper
0,Copper,851,-7.288938058211324,-6.160950766473669,Copper
0,Copper,152,-7.436960906090164,-6.990387222668341,Copper
0,Copper,826,-6.952312143494719,-6.543815358286409,Copper
0,Copper,883,-6.582302720272116,-6.62561669897756,Copper
0,Copper,228,-7.491467787011379,-7.461259444832146,Copper
0,Copper,749,-6.795707175174494,-6.420029021143557,Copper
0,Copper,327,-6.872879672090399,-6.857825128400174,Copper
0,Copper,880,-6.450924673177945,-6.089888784639999,Copper
0,Copper,533,-7.334182870970678,-6.327083562859323,Copper
0,Copper,624,-6.7496988167498015,-6.932965487460604,Copper
0,Copper,660,-7.884912091745865,-7.2258584174489595,Copper
0,Copper,522,-9.216258455397993,-6.900735072275809,Copper
0,Copper,676,-7.229665043244033,-6.8689011477119255,Copper
0,Copper,593,-6.603733025643663,-6.742665056543631,Copper
0,Copper,644,-7.176954509307733,-6.8502998737737455,Copper
0,Copper,375,-6.988530239872819,-6.9299497089515505,Copper
0,Copper,272,-7.294592870643869,-6.862908905532236,Copper
0,Copper,717,-6.32684870923034,-6.456664278313529,Copper
0,Copper,459,-8.034030430820662,-7.0217643259286,Copper
0,Copper,553,-5.725687431728367,-6.135615899440811,Copper
0,Copper,708,-7.245271323339044,-6.293606699323692,Copper
0,Copper,162,-6.561149395245759,-6.368601338302731,Copper
0,Copper,597,-6.7635528690858004,-7.209139092878721,Copper
0,Copper,728,-7.444483852479434,-6.877146015024302,Copper
0,Copper,586,-6.9055918200821536,-7.39808253743905,Copper
0,Copper,59,-6.87584980183246,-6.988335905812058,Copper
0,Copper,604,-8.130972066674834,-6.934717655955127,Copper
0,Copper,77,-6.857919485627313,-6.716646352534404,Copper
0,Copper,210,-7.509603988988062,-7.114069784155553,Copper
0,Copper,333,-8.46124269199645,-6.930939953534239,Copper
0,Copper,56,-8.816587218196348,-6.935642290850586,Copper
0,Copper,616,-6.478208338514177,-6.736367852926731,Copper
0,Copper,135,-7.115913107809972,-6.551114048429232,Copper
0,Copper,94,-7.792496252783555,-6.806843858580934,Copper
0,Copper,893,-6.939438603089571,-6.763226276621754,Copper
0,Copper,337,-8.038455494003065,-6.879971522047581,Copper
0,Copper,132,-5.935403448903396,-6.375756632070188,Copper
0,Copper,480,-7.054489210026218,-6.938724886903635,Copper
0,Copper,548,-6.603372533272989,-6.742813270324777,Copper
0,Copper,634,-7.191157633615862,-6.928327658489421,Copper
0,Copper,766,-6.8713962322508175,-6.492387626374317,Copper
0,Copper,313,-5.9364472810326205,-6.218777974268934,Copper
0,Copper,563,-6.132107699062851,-6.628561460877427,Copper
0,Copper,14,-6.577467343181058,-6.533763359301952,Copper
0,Copper,104,-6.419379460669117,-5.752810788542725,Copper
0,Copper,645,-6.678268411328822,-6.927027750663574,Copper
0,Copper,495,-6.7501415893140955,-6.979046855439525,Copper
0,Copper,154,-6.906380122002885,-6.591290490594483,Copper
0,Copper,517,-6.547914664794589,-6.494445018887716,Copper
0,Copper,518,-6.183994974687959,-6.233857131855509,Copper
0,Copper,658,-6.378283668049842,-7.063684169305036,Copper
0,Gold,100,-3.125020310875594,-3.84658035881723,Gold
0,Gold,721,-6.923746003232147,-5.883470553301624,Gold
0,Gold,476,-3.2430947603802287,-2.571389044273594,Gold
0,Gold,232,-8.553213580281902,-7.258196804000504,Gold
0,Gold,822,-6.911909242249009,-6.320717018928741,Gold
0,Gold,547,-4.772027821315325,-5.572707206756788,Gold
0,Gold,352,-6.558949302958691,-5.705013905764058,Gold
0,Gold,353,-3.394171501120289,-5.227136833343552,Gold
0,Gold,744,-7.446740090084238,-6.649937975318133,Gold
0,Gold,511,-7.13950965794635,-6.532125988516014,Gold
0,Gold,61,-4.26435921339289,-4.286354548634126,Gold
0,Gold,848,-6.857128121799333,-5.2930182852489915,Gold
0,Gold,716,-6.292974008146459,-6.149506999670211,Gold
0,Gold,102,-3.6675383129022316,-5.371740359439078,Gold
0,Gold,784,-6.110638832541532,-5.792796055499834,Gold
0,Gold,712,-3.343932793539914,-3.205921027144045,Gold
0,Gold,919,-3.6699553174655835,-3.535180173216332,Gold
0,Gold,605,-5.137486087887711,-4.75619252780894,Gold
0,Gold,564,-4.496269709803743,-3.8134275102372484,Gold
0,Gold,882,-6.528579403216916,-5.279484145530431,Gold
0,Gold,316,-5.461361796762522,-3.729548358363951,Gold
0,Gold,478,-6.39545743945778,-6.000122760815747,Gold
0,Gold,796,-2.8589368949605105,-4.05966312169036,Gold
0,Gold,309,-4.254529797667312,-4.59199660223778,Gold
0,Gold,908,-3.787322503771558,-4.442154891391025,Gold
0,Gold,761,-5.4424833159632575,-6.026860838333984,Gold
0,Gold,844,-4.1834324328376935,-4.418274709615352,Gold
0,Gold,16,-5.151854994482315,-4.568514233655941,Gold
0,Gold,149,-4.5831971660585085,-4.476546008589425,Gold
0,Gold,326,-4.5577280932659665,-4.610790938929457,Gold
0,Gold,217,-3.5509988840705398,-3.743551682817261,Gold
0,Gold,850,-4.376447120834503,-4.091479075179093,Gold
0,Gold,703,-4.5966190984458954,-4.280836086959686,Gold
0,Gold,338,-3.02897364658068,-5.96860275471449,Gold
0,Gold,189,-3.3377313832393622,-3.9466285628703752,Gold
0,Gold,724,-4.08909199991729,-4.237019640197923,Gold
0,Gold,147,-3.103476931681962,-3.783748150070607,Gold
0,Gold,494,-4.051582307225182,-4.382121704119756,Gold
0,Gold,903,-6.804492045693455,-5.922925168725363,Gold
0,Gold,627,-3.3285634871154994,-4.718536732032834,Gold
0,Gold,258,-3.8740057773441627,-4.490518062705235,Gold
0,Gold,915,-3.81305607421787,-3.895106265312465,Gold
0,Gold,573,-4.248340510236063,-3.5751521291701525,Gold
0,Gold,842,-5.0101943051162445,-4.842893235847971,Gold
0,Gold,301,-3.6973273842697827,-3.870594394911953,Gold
0,Gold,141,-3.2773380691779685,-3.3853807768149244,Gold
0,Gold,701,-3.5707747316062144,-4.16720112692453,Gold
0,Gold,260,-3.454467291927544,-4.003440858457584,Gold
0,Gold,65,-4.313143647489658,-4.7474178295102885,Gold
0,Gold,781,-4.76001625809814,-4.243543223108799,Gold
0,Gold,468,-4.0151986095496035,-4.247286915314136,Gold
0,Gold,753,-4.90093602264863,-5.338353589871099,Gold
0,Gold,673,-6.522556607141477,-6.645616919719279,Gold
0,Gold,340,-3.385916493282212,-3.516544202206925,Gold
0,Gold,76,-4.732118581414041,-4.703856746640106,Gold
0,Gold,231,-6.148369682533591,-5.580792262185135,Gold
0,Gold,918,-6.7032659862159045,-5.567855028826308,Gold
0,Gold,10,-4.614674281021546,-4.278679187260076,Gold
0,Gold,551,-5.317133374866671,-5.858514230095434,Gold
0,Gold,469,-4.276069064303165,-3.2578494530632143,Gold
0,Gold,108,-4.555334917336999,-3.9122824642607124,Gold
0,Gold,513,-4.202964573812326,-4.406515653298188,Gold
0,Gold,33,-3.183193561621077,-5.160945156415527,Gold
0,Gold,139,-5.887764906115682,-5.773555610807552,Gold
0,Gold,393,-4.643457063301817,-5.271677918336828,Gold
0,Gold,51,-4.069585271071402,-4.138537346217525,Gold
0,Gold,467,-4.41762641816968,-5.044336206995391,Gold
0,Gold,181,-5.210577513246319,-5.499486974175868,Gold
0,Gold,117,-4.894005451847499,-5.503127541289722,Gold
0,Gold,546,-5.25948460194023,-5.918597348306093,Gold
0,Gold,785,-6.460031235913974,-6.1613526826916845,Gold
0,Gold,268,-5.949250974372886,-5.567564837575958,Gold
0,Gold,809,-3.876489693954261,-3.6536082913219814,Gold
0,Gold,805,-5.31647411175923,-4.606912036233652,Gold
0,Gold,554,-5.707173264090626,-5.986276313208501,Gold
0,Gold,224,-4.274991221997661,-4.367282447887584,Gold
0,Gold,138,-4.341892398809257,-5.189899342933707,Gold
0,Gold,617,-3.301843871992734,-4.178540258575676,Gold
0,Gold,589,-5.402195350995368,-5.669241037706699,Gold
0,Gold,801,-6.224585466430158,-4.62446970413164,Gold
0,Gold,167,-5.364935416650368,-5.76196067227134,Gold
0,Gold,689,-4.615384346186432,-4.406419339309904,Gold
0,Gold,209,-6.919808363283098,-5.527187018393416,Gold
0,Gold,582,-6.010167578519712,-4.781972737682112,Gold
0,Gold,734,-2.797760228106235,-4.109550931617877,Gold
0,Gold,78,-6.295159182916376,-4.071386209895605,Gold
0,Gold,24,-3.359913971370532,-4.046224908168975,Gold
0,Gold,847,-6.080540840570493,-5.9524186179146055,Gold
0,Gold,361,-5.987894277888371,-4.187694129629676,Gold
0,Gold,755,-4.668688167447414,-4.270894623352744,Gold
0,Gold,569,-4.621103710651861,-4.711910483910978,Gold
0,Gold,298,-6.13352004590929,-5.8578839995294585,Gold
0,Gold,406,-6.976515258335908,-6.354760948866228,Gold
0,Gold,584,-7.904714836086171,-6.427577211459061,Gold
0,Gold,285,-4.875474718465778,-5.489428642454831,Gold
0,Gold,153,-5.379140551235712,-5.610076705805442,Gold
0,Gold,499,-6.931542524967141,-6.139624264817391,Gold
0,Gold,304,-4.296215973366008,-5.389196433929499,Gold
0,Gold,174,-2.923843540337129,-3.8063342257478134,Gold
0,Gold,99,-3.9784628866288716,-4.053006059471574,Gold
0,Gold,516,-4.680385983675193,-3.7768078008267323,Gold
0,Gold,695,-5.604513358575076,-5.969444449117439,Gold
0,Gold,680,-4.937083515237311,-5.2951197692476075,Gold
0,Gold,9,-6.488015260674413,-6.32480149708277,Gold
0,Gold,667,-6.020182771832717,-5.5217740204627255,Gold
0,Gold,614,-3.170759856596137,-4.0334409895131635,Gold
0,Gold,683,-6.073609010641753,-5.934163857471865,Gold
0,Gold,328,-3.873043392765824,-3.8568983313505254,Gold
0,Gold,111,-4.660892298261735,-5.7519039048571585,Gold
0,Gold,539,-4.168687543769743,-4.462085702530862,Gold
0,Gold,275,-5.196835226705785,-5.670372805890407,Gold
0,Gold,233,-5.655591176909881,-5.036810638145596,Gold
0,Gold,204,-4.7202951572875795,-5.353918309951346,Gold
0,Gold,430,-5.79431508406285,-6.278652688389043,Gold
0,Gold,202,-5.413064475524252,-3.828001490025772,Gold
0,Gold,659,-4.642305881848584,-4.730684307043248,Gold
0,Gold,127,-6.85533083437649,-5.645458105759979,Gold
0,Gold,591,-7.469602264187982,-6.400014636060174,Gold
0,Gold,542,-4.920174312728187,-5.597144262919111,Gold
0,Gold,86,-6.851918127928592,-6.2486975988216695,Gold
0,Gold,735,-4.867192168835191,-4.936335374400972,Gold
0,Gold,473,-5.40636799985517,-4.419871883392803,Gold
0,Gold,521,-5.30171744122058,-5.903647571524562,Gold
0,Gold,257,-3.8121111104657497,-5.267962301051444,Gold
0,Gold,48,-6.049888325890466,-5.971612889943483,Gold
0,Gold,713,-4.737720345893221,-5.374673497738548,Gold
0,Gold,532,-3.8172891280177863,-4.976010627727817,Gold
0,Gold,767,-5.702374535712003,-5.300959542420225,Gold
0,Gold,96,-6.024437633389361,-5.917980582444115,Gold
0,Gold,585,-4.5373781741334245,-4.427727352819922,Gold
0,Gold,413,-4.676889066742307,-4.707250815836121,Gold
0,Gold,280,-4.761815593341523,-4.595082042222215,Gold
0,Gold,830,-6.315557063000423,-6.264428915788945,Gold
0,Gold,3,-6.2382694953552456,-5.720222632311735,Gold
0,Gold,448,-5.176644243563526,-5.059019048764052,Gold
0,Gold,389,-5.043656653688032,-5.073163444673227,Gold
0,Gold,371,-3.5039241399858083,-4.974088996898282,Gold
0,Gold,11,-5.622616903908862,-5.549262086633455,Gold
0,Gold,865,-5.56869853410816,-5.6675788083486855,Gold
0,Gold,126,-5.162515825388975,-5.136414717197897,Gold
0,Gold,870,-4.820489457685688,-6.017609741015066,Gold
0,Gold,833,-3.837634143288226,-4.219236632951411,Gold
0,Gold,297,-6.906142978247305,-5.1904732164919825,Gold
0,Gold,122,-4.035223070481038,-4.108976453579812,Gold
0,Gold,867,-6.663697583745146,-5.531115562712437,Gold
0,Gold,463,-3.9624533469078336,-4.352653517171831,Gold
0,Gold,143,-4.8084387907631845,-5.2087591174966725,Gold
0,Gold,769,-4.965365235985776,-5.406582719347293,Gold
0,Gold,347,-4.5253663956442365,-5.295706948281348,Gold
0,Gold,647,-5.255636963910494,-5.901246504759569,Gold
0,Gold,197,-5.395868655763086,-5.601940264329911,Gold
0,Gold,6,-5.056510269012387,-3.9297798007197495,Gold
0,Gold,899,-8.014817804694754,-6.41363553382799,Gold
0,Gold,395,-4.2832632071454,-5.4087536226296296,Gold
0,Gold,527,-5.433677342381939,-5.632224061039309,Gold
0,Gold,691,-3.6534537462969747,-3.4333199099357405,Gold
0,Gold,819,-3.1613479538230083,-3.819932423220067,Gold
0,Gold,544,-3.3031681566349187,-3.8991115570205097,Gold
0,Gold,488,-7.513813770161729,-5.932415210136312,Gold
0,Gold,603,-5.129977010290291,-5.958405854474538,Gold
0,Gold,490,-4.0298242926297645,-3.912195792932654,Gold
0,Gold,612,-7.262195985009844,-6.225401299431768,Gold
0,Gold,598,-5.829380055398983,-5.162631378692954,Gold
0,Gold,344,-5.908808338608754,-5.760461957440113,Gold
0,Gold,835,-5.057324549326086,-5.496188114898195,Gold
0,Gold,525,-3.2102467067788925,-3.46516655202536,Gold
0,Gold,894,-5.3623989616921905,-5.771524385167859,Gold
0,Gold,368,-4.568739815033082,-5.137356920738632,Gold
0,Gold,535,-4.7906808112709,-6.450464555858169,Gold
0,Gold,443,-6.301857215791038,-5.501026305839991,Gold
0,Gold,637,-6.254824595785358,-5.958547217485873,Gold
0,Gold,633,-2.6793250743123562,-3.3262939550020367,Gold
0,Gold,674,-5.454971172261597,-5.675667095796123,Gold
0,Gold,180,-5.772043021555383,-6.834061244967939,Gold
0,Gold,602,-3.2869163140776614,-3.5665246988638786,Gold
0,Gold,195,-4.522924065035946,-5.596312743992797,Gold
0,Gold,290,-3.0764697264951777,-3.843269653376955,Gold
0,Gold,868,-4.703389322762164,-5.17688944389617,Gold
0,Gold,902,-5.339002318649823,-6.193099890884523,Gold
0,Gold,314,-5.807778880730663,-5.419818549528441,Gold
0,Gold,382,-6.220647070170899,-6.1247872288776675,Gold
0,Gold,291,-7.303955360125374,-5.677907844874493,Gold
0,Gold,411,-7.100475176680115,-6.343998745876824,Gold
0,Gold,483,-5.855504893118725,-5.831706199690764,Gold
0,Gold,707,-4.447780371462746,-5.45250080825786,Gold
0,Gold,194,-5.136716791942392,-5.329473681818432,Gold
0,Gold,686,-6.572548493680836,-6.008460904654521,Gold
0,Gold,151,-4.60305581975967,-5.848340424187679,Gold
0,Gold,294,-3.2748880611204862,-4.1380042256084,Gold
0,Gold,81,-7.090420723470116,-6.140536636398846,Gold
0,Gold,356,-5.157900771744379,-5.120510867906005,Gold
0,Gold,237,-4.128098895111175,-3.8419766369125026,Gold
0,Gold,504,-7.617855633329987,-6.654266110821753,Gold
0,Gold,407,-5.837313867280724,-4.989008626234022,Gold
0,Gold,590,-5.539870521866059,-6.383047810035487,Gold
0,Gold,404,-7.619235065996685,-6.403997366548705,Gold
