,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,All
,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,
Mine CU elasticity to TCM,0.4044977084411146,0.36869265344532415,0.47369049795194934,0.4800279148732258,0.5602498763388493,0.14572506663851945,0.6102718479551233,0.5895177077301698,0.686453389818073,,0.8113489905953869,0.6439552843656531,0.7944794761990438,0.6638036624177082,0.9433730047237133,0.7720234589121796,0.8178925917776281,0.7166733636172867,0.8596329981166184,
Mine cost change per year,0.4101243281597235,0.2495915468182453,0.4125054156633305,0.7234517270776386,0.7612356735604546,0.2521012902735477,0.10937715182340245,0.20057249291276433,0.300577542779772,,0.8850766731771219,0.8777464499128325,0.7065695939925875,0.768286449422356,0.8268543464913863,0.7249838226602773,0.9348550963546617,0.722087190709437,0.7702417342668743,
Mine cost elasticity to ore grade,0.6221517449638727,0.2608693122480099,0.4218113691848748,0.6411913748538617,0.10777263531458213,0.24131535881119887,0.6052422545238922,0.2570019520209088,0.4010231584194752,,0.7704106176710427,0.9989632190407162,0.7321874258457081,0.6990091687842321,0.9303826337036718,0.9375523596338382,0.9349950046869963,0.9683912370264629,0.8714626147341782,
Ore grade elasticity to COT distribution mean,0.1095783197666346,0.3172235836882686,0.1894498056790656,0.47460182722512023,0.25635897159257004,0.14446396475387732,0.04552767989313684,0.32793498926311015,0.35793785909595494,,0.07925367653315561,0.6203059451337881,0.23653984246561416,0.2527038649415441,0.11138013840125102,0.195309688661431,0.5795548176867054,0.9388091557586887,0.7964886657834851,
Primary refinery CU elasticity to TCRC,0.17332633395341185,0.8744596772313529,1.292793205312466,1.2655817459839873,0.34875846911375646,1.3756848507954342,0.4633720294118144,0.5622733894135743,1.069114316226431,,0.7583902928326569,0.699450923321113,0.7583986143010488,0.8177014825761317,0.8824870468845372,1.0493408017622317,0.856409632208609,0.9503285042933134,0.8320623364396137,
Primary refinery CU elasticity to price,0.42672083276992034,0.6731642288691965,0.47856488860259677,0.5785852141251234,0.8318442644899275,0.812344354460147,0.4334347310836043,0.1993779935278771,0.5740163523362941,,0.8505081506582132,0.717560593158397,0.9003638605852163,0.9506820078758655,0.7457656502797956,0.7747312154584166,0.836851872658307,0.9491666478320018,0.8275164660124851,
Ref. cap. growth frac. from mine prod. growth,0.20358323779204132,0.7149095315552928,0.4625701972703968,0.17763965149710637,0.9107293408013128,0.5187404412981457,0.3708353922888691,0.3847743990593278,0.6820015721279906,,0.8692317333433586,0.832971985079686,0.8335559844865119,0.769490321377782,0.8104715782427462,0.7563553706034266,1.0060507218899686,0.8872992420109226,0.9711625611006016,
Refined price elasticity to SD,0.37418297948179036,0.3797023404538905,0.6876004591792656,0.4174992777324646,0.48474448213308324,0.259601395218283,0.5810480817018265,0.6327419641656791,0.6600464120181675,,0.692972989083625,0.8710788733496078,0.957111972556334,0.5473246741523728,0.6550865746858655,0.8684150471558555,1.019032605792509,0.8500655218613513,0.8653983193307232,
Refinery SR elasticity to TCRC,0.29306952259487973,,0.5260194883930664,0.2910255941739455,0.33467356819748423,0.3311255833637224,0.4293468157578523,0.9070444865206904,0.0,,0.7860431449595615,,0.8195784324542309,0.8844356031775579,0.9364555250210399,0.9005598533079286,0.7676233529977604,0.8628890656546447,0.8416199013903041,
Refinery SR elasticity to scrap spread,0.2753377486312647,,0.552278332682736,0.36224699874141353,0.5776108741748478,0.14419847201847755,0.3861615364759898,0.6687017326302432,0.8070759558560877,,0.7320464646504856,,0.8313174083321655,0.8078878076710247,0.7528115433261635,0.7698349739527708,0.9772200585803678,0.8493564301329306,1.0013064065729445,
