,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,All
,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,
Refined price elasticity to SD,0.37418297948179036,0.3797023404538905,0.6876004591792656,0.4174992777324646,0.48474448213308324,0.259601395218283,0.5810480817018265,0.6327419641656791,0.6600464120181675,,0.7117569433601177,0.9022148672154955,0.9632922432834629,0.5561611929837643,0.6513352673269721,0.9285241336706671,1.050077325213526,0.8630482103406762,0.8606189092741612,
Refinery SR elasticity to TCRC,0.29306952259487973,,0.5260194883930664,0.2910255941739455,0.33467356819748423,0.3311255833637224,0.4293468157578523,0.9070444865206904,0.0,,0.781156430535962,,0.8548196639922554,0.8822187379143422,0.936675155429909,0.9215597952465823,0.7838892862253571,0.8720295606867153,0.8709433749486465,
Refinery SR elasticity to scrap spread,0.2753377486312647,,0.552278332682736,0.36224699874141353,0.5776108741748478,0.14419847201847755,0.3861615364759898,0.6687017326302432,0.8070759558560877,,0.7411599498096004,,0.8264339072458328,0.8029361662360209,0.7826961531919451,0.7651187679309215,0.9815703177262566,0.8493961475548304,0.9977304626120728,
Region specific intensity elasticity to price,,,,,,,,,,,0.8479996733133888,0.6784059704952874,1.0357521712639297,0.9830302618139826,0.7942609666627617,0.7097889576483233,0.8489238274955545,0.9627845466579316,1.0512386158154474,
Scrap spread elasticity to SD,0.6969337182199239,0.4850738654167886,0.848642772728996,0.23872448797528625,0.28082240789722407,0.3311220141080376,0.3165636980671153,0.42135449503618094,0.0703093671504915,,0.7064868975042538,0.8509189479298974,0.8017810127279381,0.9548604965119953,0.6050351999027548,0.950232249541464,0.8138163635122422,0.9646610847246232,0.9302559481618018,
Scrap spread elasticity to price,0.5710255006017603,0.2987196077168172,0.49441157861273466,0.5725461306122812,0.7056580224697052,0.33764322316454826,0.4964449059049303,0.40516875863709473,0.35949197384169335,,0.9093073244257955,0.8625258008343457,0.8785825425835522,0.8090572769704237,0.8486863975487687,0.9056139308222443,0.8163210690036824,0.8234811464430706,0.7779931015751433,
Secondary refinery CU elasticity to TCRC,0.5845652572331691,,0.5142103271507411,1.33604573813133,0.6983150857015491,0.6332655282620703,0.5079250361542073,0.20177308277029277,0.29883293140590117,,0.9185846218943123,,0.7831530658043235,0.8078209654713575,0.7696268968685773,0.7791421304030095,0.8394653834912966,0.9260052568622678,0.9844688542859045,
Secondary refinery CU elasticity to price,0.48070913437157825,,0.4482253963097047,0.7769373054217069,0.3048058612650633,0.9979333542333102,0.7001338359964375,0.3503217717714568,0.7601900255883698,,0.9045079194819393,,0.8713074192919292,0.8601055485401881,0.8391460560778252,0.877056360310687,0.9570685345747104,0.8632101463785674,0.9024054875570815,
TCRC elasticity to SD,0.1536869094532491,0.1478525005419801,0.35888380207979065,0.005218311290102826,0.7740740803552887,0.4290614688922235,0.18920795850255054,0.7730920702793345,0.4100745167496253,,0.7151989667582915,0.9260528721186368,1.0003218356507768,1.2006931330291373,1.0505525293537363,0.7515052995054265,0.8570856244803926,0.9578623320712972,0.7024341985116106,
TCRC elasticity to price,0.338336479773587,0.4877603267827249,0.7900816385125796,0.22451264113792851,0.05281935507814273,0.11276818819038952,0.24859693794670432,0.8740598110862401,0.3678371148735053,,0.8099661083982879,0.9617873364517677,0.619262694873737,0.8641863167872359,0.8491162856452118,0.8544378113700307,0.897431776730963,0.8435946593214526,0.7689386092334222,
