,Year,Commodity,Historical or simulated,Scenario,Mean total cash margin
148,2008.0,Mo,Historical,Historical,58943.56525653395
149,2008.0,Ni,Historical,Historical,11059.19997832642
150,2008.0,Pd,Historical,Historical,4456060.543371489
151,2008.0,Pt,Historical,Historical,36687993.4682441
152,2008.0,Ag,Historical,Historical,316830.8750390565
153,2008.0,Zn,Historical,Historical,573.4438098782663
154,2009.0,Cu,Historical,Historical,3238.680863499346
155,2009.0,Au,Historical,Historical,19757623.58237826
156,2009.0,Pb,Historical,Historical,725.6705802538925
157,2009.0,Mo,Historical,Historical,14494.27913837953
158,2009.0,Ni,Historical,Historical,6308.452954351033
159,2009.0,Pd,Historical,Historical,5003787.52473262
160,2009.0,Pt,Historical,Historical,12689205.32049173
161,2009.0,Ag,Historical,Historical,323809.7203111888
162,2009.0,Zn,Historical,Historical,583.7075502011281
163,2010.0,Cu,Historical,Historical,5253.204398949856
164,2010.0,Au,Historical,Historical,25614585.19649282
165,2010.0,Pb,Historical,Historical,1045.483069390767
166,2010.0,Mo,Historical,Historical,23752.24270393208
167,2010.0,Ni,Historical,Historical,12320.84470941535
168,2010.0,Pd,Historical,Historical,8498636.244450072
169,2010.0,Pt,Historical,Historical,25974710.0950431
170,2010.0,Ag,Historical,Historical,485693.4449170851
171,2010.0,Zn,Historical,Historical,926.7758656701276
172,2011.0,Cu,Historical,Historical,5612.247985680992
173,2011.0,Au,Historical,Historical,35676674.14050487
174,2011.0,Pb,Historical,Historical,1093.91632955836
175,2011.0,Mo,Historical,Historical,20372.34338299605
176,2011.0,Ni,Historical,Historical,11392.07946396269
177,2011.0,Pd,Historical,Historical,12946818.61296102
178,2011.0,Pt,Historical,Historical,22854805.5866684
179,2011.0,Ag,Historical,Historical,881888.7215560607
180,2011.0,Zn,Historical,Historical,982.3446998711215
181,2012.0,Cu,Historical,Historical,4295.672345782993
182,2012.0,Au,Historical,Historical,35453258.72919188
183,2012.0,Pb,Historical,Historical,847.2541653319295
184,2012.0,Mo,Historical,Historical,11452.47684468014
185,2012.0,Ni,Historical,Historical,5483.718625974858
186,2012.0,Pd,Historical,Historical,8501144.270417877
187,2012.0,Pt,Historical,Historical,10585277.67274429
188,2012.0,Ag,Historical,Historical,662390.5893320236
189,2012.0,Zn,Historical,Historical,738.2944489645653
190,2013.0,Cu,Historical,Historical,3618.850098875555
191,2013.0,Au,Historical,Historical,24701998.76390401
192,2013.0,Pb,Historical,Historical,956.9830543328744
193,2013.0,Mo,Historical,Historical,8794.154551702517
194,2013.0,Ni,Historical,Historical,3576.058221500935
195,2013.0,Pd,Historical,Historical,8147667.173573203
196,2013.0,Pt,Historical,Historical,13887475.24237238
197,2013.0,Ag,Historical,Historical,404296.0997372753
198,2013.0,Zn,Historical,Historical,614.3500748263601
199,2014.0,Cu,Historical,Historical,3067.445982173379
200,2014.0,Au,Historical,Historical,20290637.02388052
201,2014.0,Pb,Historical,Historical,783.6552086819399
202,2014.0,Mo,Historical,Historical,11668.12313328169
203,2014.0,Ni,Historical,Historical,5917.304428895792
204,2014.0,Pd,Historical,Historical,10433769.74607291
205,2014.0,Pt,Historical,Historical,6180600.488854164
206,2014.0,Ag,Historical,Historical,270094.339464389
207,2014.0,Zn,Historical,Historical,701.8523973467409
208,2015.0,Cu,Historical,Historical,1992.305607179576
209,2015.0,Au,Historical,Historical,18488791.43544303
210,2015.0,Pb,Historical,Historical,588.4099438418534
211,2015.0,Mo,Historical,Historical,3010.052526435691
212,2015.0,Ni,Historical,Historical,2589.983188195522
213,2015.0,Pd,Historical,Historical,7282184.209376911
214,2015.0,Pt,Historical,Historical,4844424.960222417
215,2015.0,Ag,Historical,Historical,212913.4796063635
216,2015.0,Zn,Historical,Historical,539.3355482728571
217,2016.0,Cu,Historical,Historical,1911.285348545366
218,2016.0,Au,Historical,Historical,21675732.48510009
219,2016.0,Pb,Historical,Historical,618.6077169306831
220,2016.0,Mo,Historical,Historical,-1069.509605701814
221,2016.0,Ni,Historical,Historical,1582.411789484887
222,2016.0,Pd,Historical,Historical,5589810.640434062
223,2016.0,Pt,Historical,Historical,6012751.645975463
224,2016.0,Ag,Historical,Historical,286161.4206335009
225,2016.0,Zn,Historical,Historical,560.2551118433694
226,2017.0,Cu,Historical,Historical,2999.678838633387
227,2017.0,Au,Historical,Historical,21238963.54825444
228,2017.0,Pb,Historical,Historical,1142.037585074119
229,2017.0,Mo,Historical,Historical,2770.774447789452
230,2017.0,Ni,Historical,Historical,2634.322978228501
231,2017.0,Pd,Historical,Historical,12765589.23107623
232,2017.0,Pt,Historical,Historical,5716169.693150431
233,2017.0,Ag,Historical,Historical,261914.7006378094
234,2017.0,Zn,Historical,Historical,1263.240243430589
235,2018.0,Cu,Historical,Historical,3032.197593533852
236,2018.0,Au,Historical,Historical,20174546.16043435
237,2018.0,Pb,Historical,Historical,1033.81454701113
238,2018.0,Mo,Historical,Historical,6995.303307457012
239,2018.0,Ni,Historical,Historical,4553.25544721166
240,2018.0,Pd,Historical,Historical,13282551.14537135
241,2018.0,Pt,Historical,Historical,7725747.85414321
242,2018.0,Ag,Historical,Historical,191778.045868723
243,2018.0,Zn,Historical,Historical,1204.927228302823
244,2019.0,Cu,Historical,Historical,2905.656333
245,2019.0,Au,Historical,Historical,20525904.169027
246,2019.0,Pb,Historical,Historical,1010.996612
247,2019.0,Mo,Historical,Historical,5407.808806
248,2019.0,Ni,Historical,Historical,0.0
249,2019.0,Pd,Historical,Historical,0.0
250,2019.0,Pt,Historical,Historical,0.0
251,2019.0,Ag,Historical,Historical,198235.805493
252,2019.0,Zn,Historical,Historical,1232.191776
253,2001.0,Ag,Simulated,0,212174.52810689947
254,2002.0,Ag,Simulated,0,250318.18527028157
255,2003.0,Ag,Simulated,0,271265.29414556804
256,2004.0,Ag,Simulated,0,317797.89740455186
257,2005.0,Ag,Simulated,0,342449.16372488765
258,2006.0,Ag,Simulated,0,373375.1664484504
259,2007.0,Ag,Simulated,0,398395.7967714364
260,2008.0,Ag,Simulated,0,411274.7039427453
261,2009.0,Ag,Simulated,0,423638.5895172664
262,2010.0,Ag,Simulated,0,431848.2854011207
263,2011.0,Ag,Simulated,0,443051.3074465493
264,2012.0,Ag,Simulated,0,449193.8355176745
265,2013.0,Ag,Simulated,0,446117.5306477228
266,2014.0,Ag,Simulated,0,445406.5502442447
267,2015.0,Ag,Simulated,0,445941.51211329206
268,2016.0,Ag,Simulated,0,438760.3799852276
269,2017.0,Ag,Simulated,0,425647.4396299599
270,2018.0,Ag,Simulated,0,413049.94620883465
271,2019.0,Ag,Simulated,0,396618.4994289337
272,2001.0,Ag,Simulated,1,174790.86276509325
273,2002.0,Ag,Simulated,1,218362.7042665548
274,2003.0,Ag,Simulated,1,256138.58130637623
275,2004.0,Ag,Simulated,1,289155.1206339565
276,2005.0,Ag,Simulated,1,325228.19519315223
277,2006.0,Ag,Simulated,1,370407.902571726
278,2007.0,Ag,Simulated,1,405387.372114146
279,2008.0,Ag,Simulated,1,438373.7712997565
280,2009.0,Ag,Simulated,1,469252.52463259
281,2010.0,Ag,Simulated,1,496131.0315159712
