,Year,Commodity,Historical or simulated,Scenario,TCRC
192,2016.0,Mo,Historical,Historical,1152.512827783574
193,2016.0,Ni,Historical,Historical,1300.095695664235
194,2016.0,Pd,Historical,Historical,1882093.615166173
195,2016.0,Pt,Historical,Historical,1897284.476106635
196,2016.0,Zn,Historical,Historical,355.250654667092
197,2017.0,Cu,Historical,Historical,275.5047959414701
198,2017.0,Au,Historical,Historical,147574.6491630721
199,2017.0,Pb,Historical,Historical,125.3098342780439
200,2017.0,Mo,Historical,Historical,1125.269195000407
201,2017.0,Ni,Historical,Historical,1337.217900737025
202,2017.0,Pd,Historical,Historical,1546607.432362305
203,2017.0,Pt,Historical,Historical,2332473.279159861
204,2017.0,Zn,Historical,Historical,261.6513329981016
205,2018.0,Cu,Historical,Historical,259.2433777763827
206,2018.0,Au,Historical,Historical,144288.1049709024
207,2018.0,Pb,Historical,Historical,100.6468369750757
208,2018.0,Mo,Historical,Historical,1115.874374852231
209,2018.0,Ni,Historical,Historical,1221.844958038433
210,2018.0,Pd,Historical,Historical,1513756.359356445
211,2018.0,Pt,Historical,Historical,2680964.00674447
212,2018.0,Zn,Historical,Historical,252.9852408441921
213,2019.0,Cu,Historical,Historical,252.958003
214,2019.0,Au,Historical,Historical,143044.629937
215,2019.0,Pb,Historical,Historical,98.656727
216,2019.0,Mo,Historical,Historical,1096.012329
217,2019.0,Ni,Historical,Historical,1028.273303
218,2019.0,Pt,Historical,Historical,10.804358
219,2019.0,Zn,Historical,Historical,244.94493
220,2001.0,Ag,Simulated,0,29592.22587383195
221,2002.0,Ag,Simulated,0,29632.86689891583
222,2003.0,Ag,Simulated,0,27668.56705716358
223,2004.0,Ag,Simulated,0,27964.533131227297
224,2005.0,Ag,Simulated,0,27321.635787694348
225,2006.0,Ag,Simulated,0,27303.997698982872
226,2007.0,Ag,Simulated,0,27373.178143483983
227,2008.0,Ag,Simulated,0,27111.43089278645
228,2009.0,Ag,Simulated,0,26870.40323171386
229,2010.0,Ag,Simulated,0,26581.075127055385
230,2011.0,Ag,Simulated,0,26552.243494307448
231,2012.0,Ag,Simulated,0,26808.438992066032
232,2013.0,Ag,Simulated,0,26582.60552644028
233,2014.0,Ag,Simulated,0,26480.96273941807
234,2015.0,Ag,Simulated,0,26501.27240816379
235,2016.0,Ag,Simulated,0,26560.99952589356
236,2017.0,Ag,Simulated,0,26567.53631588262
237,2018.0,Ag,Simulated,0,26646.523895953585
238,2019.0,Ag,Simulated,0,26721.19956663665
239,2001.0,Ag,Simulated,1,29592.225873831943
240,2002.0,Ag,Simulated,1,29534.25442904662
241,2003.0,Ag,Simulated,1,26131.991586326058
242,2004.0,Ag,Simulated,1,25430.731573378107
243,2005.0,Ag,Simulated,1,24695.033263404395
244,2006.0,Ag,Simulated,1,24351.770736425744
245,2007.0,Ag,Simulated,1,24372.082789656542
246,2008.0,Ag,Simulated,1,24071.54018323084
