,Variable,Commodity,Year,Historical or simulated,Scenario,Value
204,Total demand,Cu,2008,Simulated,216,21.37564494809159
205,Total demand,Cu,2008,Simulated,68,18.131302821105823
206,Total demand,Cu,2008,Simulated,345,25.314800471008382
207,Total demand,Cu,2008,Simulated,244,21.467370202798477
208,Total demand,Cu,2009,Historical,Historical,23.145
209,Total demand,Cu,2009,Simulated,214,21.174051533179828
210,Total demand,Cu,2009,Simulated,204,23.75875227926972
211,Total demand,Cu,2009,Simulated,226,23.54572385706285
212,Total demand,Cu,2009,Simulated,207,22.9665570076128
213,Total demand,Cu,2009,Simulated,173,22.50432937197287
214,Total demand,Cu,2009,Simulated,329,23.327368738754913
215,Total demand,Cu,2009,Simulated,187,21.66846827208157
216,Total demand,Cu,2009,Simulated,379,20.940049103157172
217,Total demand,Cu,2009,Simulated,97,21.80314474597342
218,Total demand,Cu,2009,Simulated,512,25.037747292849954
219,Total demand,Cu,2009,Simulated,527,22.494073812800913
220,Total demand,Cu,2009,Simulated,560,25.301756841859095
221,Total demand,Cu,2009,Simulated,266,21.40120534850518
222,Total demand,Cu,2009,Simulated,58,23.754197755517442
223,Total demand,Cu,2009,Simulated,262,24.88263373226855
224,Total demand,Cu,2009,Simulated,336,25.4726098271477
225,Total demand,Cu,2009,Simulated,171,21.34344743794772
226,Total demand,Cu,2009,Simulated,220,23.287935454309867
227,Total demand,Cu,2009,Simulated,277,17.917164705680225
228,Total demand,Cu,2009,Simulated,193,21.4367436855556
229,Total demand,Cu,2009,Simulated,157,18.54607759858115
230,Total demand,Cu,2009,Simulated,216,20.977058793649746
231,Total demand,Cu,2009,Simulated,68,18.386365464584692
232,Total demand,Cu,2009,Simulated,345,25.503826954496258
233,Total demand,Cu,2009,Simulated,244,20.024430103640526
234,Total demand,Cu,2010,Historical,Historical,24.19452173168564
235,Total demand,Cu,2010,Simulated,214,22.596656142904422
236,Total demand,Cu,2010,Simulated,204,24.503675920157466
237,Total demand,Cu,2010,Simulated,226,25.928217760417834
238,Total demand,Cu,2010,Simulated,207,24.99135004919654
239,Total demand,Cu,2010,Simulated,173,23.66322993063827
240,Total demand,Cu,2010,Simulated,329,24.98417754796649
241,Total demand,Cu,2010,Simulated,187,22.112136288386452
242,Total demand,Cu,2010,Simulated,379,22.797353363651965
243,Total demand,Cu,2010,Simulated,97,23.214370407481038
244,Total demand,Cu,2010,Simulated,512,27.56391876615768
245,Total demand,Cu,2010,Simulated,527,23.484412750050726
246,Total demand,Cu,2010,Simulated,560,25.915168203364413
247,Total demand,Cu,2010,Simulated,266,21.79570235035691
248,Total demand,Cu,2010,Simulated,58,25.61661011076484
249,Total demand,Cu,2010,Simulated,262,25.955338541976662
250,Total demand,Cu,2010,Simulated,336,27.524341562984475
251,Total demand,Cu,2010,Simulated,171,22.64359060250096
252,Total demand,Cu,2010,Simulated,220,24.353436122859982
253,Total demand,Cu,2010,Simulated,277,15.902114095740801
254,Total demand,Cu,2010,Simulated,193,22.237861916097682
255,Total demand,Cu,2010,Simulated,157,20.96947886711714
256,Total demand,Cu,2010,Simulated,216,22.34220661100756
257,Total demand,Cu,2010,Simulated,68,21.481252743574906
258,Total demand,Cu,2010,Simulated,345,27.55374866149132
259,Total demand,Cu,2010,Simulated,244,20.25900581750044
260,Total demand,Cu,2011,Historical,Historical,25.08929089953471
261,Total demand,Cu,2011,Simulated,214,23.317172466066047
262,Total demand,Cu,2011,Simulated,204,24.96069742373014
263,Total demand,Cu,2011,Simulated,226,27.746515585675123
264,Total demand,Cu,2011,Simulated,207,26.890804994797776
265,Total demand,Cu,2011,Simulated,173,24.266071991962264
266,Total demand,Cu,2011,Simulated,329,26.432205568827122
267,Total demand,Cu,2011,Simulated,187,22.062864029810857
268,Total demand,Cu,2011,Simulated,379,24.339211244308636
269,Total demand,Cu,2011,Simulated,97,23.952382818293827
270,Total demand,Cu,2011,Simulated,512,29.534549816256607
271,Total demand,Cu,2011,Simulated,527,23.99575214429448
272,Total demand,Cu,2011,Simulated,560,26.76486561815127
273,Total demand,Cu,2011,Simulated,266,21.93186806005511
274,Total demand,Cu,2011,Simulated,58,26.972447072510267
275,Total demand,Cu,2011,Simulated,262,26.78334790503961
276,Total demand,Cu,2011,Simulated,336,29.31687937642381
277,Total demand,Cu,2011,Simulated,171,22.967041895428633
278,Total demand,Cu,2011,Simulated,220,24.97013836459785
279,Total demand,Cu,2011,Simulated,277,15.269102533217563
280,Total demand,Cu,2011,Simulated,193,22.503657040797805
281,Total demand,Cu,2011,Simulated,157,22.6213299734118
282,Total demand,Cu,2011,Simulated,216,22.559098262189707
283,Total demand,Cu,2011,Simulated,68,23.652595205909005
284,Total demand,Cu,2011,Simulated,345,29.384870507448053
285,Total demand,Cu,2011,Simulated,244,19.851911057490902
286,Total demand,Cu,2012,Historical,Historical,25.297975557049202
287,Total demand,Cu,2012,Simulated,214,24.507124541883808
288,Total demand,Cu,2012,Simulated,204,25.56161446974368
289,Total demand,Cu,2012,Simulated,226,29.136950194627087
290,Total demand,Cu,2012,Simulated,207,28.822160663618565
291,Total demand,Cu,2012,Simulated,173,24.81045708423445
292,Total demand,Cu,2012,Simulated,329,27.97603814280801
293,Total demand,Cu,2012,Simulated,187,22.04160667879801
294,Total demand,Cu,2012,Simulated,379,25.825919946206977
295,Total demand,Cu,2012,Simulated,97,24.49392120626681
296,Total demand,Cu,2012,Simulated,512,31.283192857436923
297,Total demand,Cu,2012,Simulated,527,24.532020127903863
298,Total demand,Cu,2012,Simulated,560,27.900203745790442
299,Total demand,Cu,2012,Simulated,266,22.256269767421692
300,Total demand,Cu,2012,Simulated,58,28.21724071964287
301,Total demand,Cu,2012,Simulated,262,27.78560629171665
302,Total demand,Cu,2012,Simulated,336,31.257421580810657
303,Total demand,Cu,2012,Simulated,171,23.27396245374191
304,Total demand,Cu,2012,Simulated,220,25.621351871981215
305,Total demand,Cu,2012,Simulated,277,17.59878731940518
306,Total demand,Cu,2012,Simulated,193,22.741727554206683
307,Total demand,Cu,2012,Simulated,157,23.620700630226814
308,Total demand,Cu,2012,Simulated,216,22.78956928090792
309,Total demand,Cu,2012,Simulated,68,24.185755143590196
310,Total demand,Cu,2012,Simulated,345,30.982556408554718
311,Total demand,Cu,2012,Simulated,244,19.64749904867212
312,Total demand,Cu,2013,Historical,Historical,26.259767623756527
313,Total demand,Cu,2013,Simulated,214,26.30164590465556
314,Total demand,Cu,2013,Simulated,204,26.23429318416104
315,Total demand,Cu,2013,Simulated,226,30.814552592897048
316,Total demand,Cu,2013,Simulated,207,31.118363246119394
317,Total demand,Cu,2013,Simulated,173,25.546891232665644
318,Total demand,Cu,2013,Simulated,329,29.466439781146704
319,Total demand,Cu,2013,Simulated,187,22.28192887445828
320,Total demand,Cu,2013,Simulated,379,27.83466240097093
321,Total demand,Cu,2013,Simulated,97,25.257663392465204
322,Total demand,Cu,2013,Simulated,512,33.148209096572266
323,Total demand,Cu,2013,Simulated,527,25.35535403851309
324,Total demand,Cu,2013,Simulated,560,28.974679492606423
325,Total demand,Cu,2013,Simulated,266,22.846632967440218
326,Total demand,Cu,2013,Simulated,58,29.896224530366855
327,Total demand,Cu,2013,Simulated,262,28.80629286080008
328,Total demand,Cu,2013,Simulated,336,32.809181481929315
329,Total demand,Cu,2013,Simulated,171,24.54896514371704
330,Total demand,Cu,2013,Simulated,220,26.41537220868257
331,Total demand,Cu,2013,Simulated,277,21.770584110707798
332,Total demand,Cu,2013,Simulated,193,23.095318105407387
