,"Aluminum, unadjusted","Aluminum, inflation and regression adjusted","Aluminum, rolling mean","Copper, unadjusted","Copper, inflation and regression adjusted","Copper, rolling mean","Gold, unadjusted","Gold, inflation and regression adjusted","Gold, rolling mean","Lead, unadjusted","Lead, inflation and regression adjusted","Lead, rolling mean","Nickel, unadjusted","Nickel, inflation and regression adjusted","Nickel, rolling mean","Silver, unadjusted","Silver, inflation and regression adjusted","Silver, rolling mean","Steel, unadjusted","Steel, inflation and regression adjusted","Steel, rolling mean","Tin, unadjusted","Tin, inflation and regression adjusted","Tin, rolling mean","Zinc, unadjusted","Zinc, inflation and regression adjusted","Zinc, rolling mean"
2001,1695.2970167993146,1365.3093418736548,1430.6872115981143,2283.1880860747588,3706.5148955119657,3904.0508607717907,13808108.374743678,33602173.332053214,34515012.62439835,688.3518271230299,1367.864824805241,1410.8463350223815,8633.621267837483,10482.035391293732,12531.217254603398,222900.38102231736,437174.7133797401,491147.9643135311,240.4891880792503,433.9605269800974,471.76560257372455,6477.493460676628,10833.273186526048,11934.06326429425,1281.3512314204102,1502.239403525203,1605.851788137536
2002,1755.349164130199,1434.3302432487894,1443.7652852307203,2217.821387474612,3628.925401331017,3874.195294840471,15559541.634473868,36529284.72292299,35900602.9561996,643.4000123946294,1276.1524496885384,1384.1176155914711,9635.083665486103,11775.654900460597,13280.721944482331,230680.19969314084,447055.7152727677,449107.03391688847,254.3317151184023,451.4735369528811,497.6573954402784,5770.831041904166,9742.896761048403,11579.166544838032,1107.3307381954469,1316.855094224288,1482.8488015301984
2003,1949.5715697722703,1533.013768922933,1477.8829104387125,2472.34914750288,3589.809795664874,4018.9531421993233,17836880.038607154,41205610.67000662,36873810.912796296,714.4422051793805,1266.3582404705971,1445.9973592754093,13393.39720784794,14382.811219056412,13479.515143592067,239017.40697013136,417908.2646499594,437181.6338744876,328.2350114031322,530.0374393532633,521.4924426268788,6796.912710103276,10353.19481374806,11242.293496610471,1150.3100825225854,1297.5278230960107,1453.2457907018397
2004,2114.70710644071,1564.340215225701,1599.4929418139695,3875.459560417547,4566.020381410855,4708.248480621862,19554709.20142283,36045253.078746624,36869241.64004706,1193.3130830291254,1745.7487778204527,1531.860629053576,18741.6939256409,16632.921760396857,15402.615248291066,317846.22230986605,467085.86476917967,462217.5342175268,460.729909281489,639.5828673570072,541.6566228213147,11457.388582383135,14542.854026709154,11310.698433174528,1419.0531339481,1463.9942487745,1876.561525755725
2005,2160.45063274228,1492.4209829224842,1685.2147506366703,4809.623307666517,4603.495237077906,5395.775013502805,20545557.725701552,36986732.76025206,36280142.62716967,1276.4539689600224,1573.8625035922173,1903.1169340488723,19361.607995723043,14124.152446752742,18960.142427628474,337368.52515897056,416683.611300791,491813.6780183796,459.0075444177132,552.4078424911451,573.9914741517906,9675.724497482488,10739.24869502069,12672.912287094217,1806.5661015140392,1685.612383889196,2309.00127331421
2006,2910.0145309536515,1973.35949874994,1715.106099980008,8516.13477841579,7152.991587624657,5764.095361780045,27010746.803382363,33579326.96830697,36026987.390139416,1632.4527071969896,1797.1811736960751,2076.3374211549512,30553.925909803864,20097.535914788725,18700.445353503917,516800.4763378726,562354.2150949363,517232.0326453004,487.8086775967711,534.7814279522767,610.744930311773,11097.9614047109,11175.297869346336,14063.300096626102,4134.341921415979,3618.81807879463,2406.7341790256787
2007,2703.9788825481387,1862.9392873622917,1656.7063555268971,8788.89562697106,7066.558065735732,5976.950680176382,30302753.942347884,33583789.65853608,37214261.83806977,3175.7424962685623,3132.4339746650194,2183.0984515970517,45863.57383290222,29563.290797147634,17982.99738122615,582445.5371479071,595036.4342770313,562189.5075847855,594.8152133696249,613.1477936052606,587.388679006578,17857.185727905573,16553.96603064685,14490.549856917525,4012.5204516997305,3479.053832016713,2479.5198425781396
2008,2673.315763133353,1682.4705156396235,1685.9242032844254,8246.974059948292,5431.411537051076,6423.1471298420365,36516458.21229208,39939834.48485532,38096383.46402263,2484.0809782301367,2132.4606760009924,2364.1374051916137,25090.502743400724,13084.325848433631,18295.77288320888,627890.940860684,545000.0377845635,641213.9476421447,811.2873662047383,713.8047201531751,598.2358541069661,21881.2506703098,17305.13386140749,16598.146756209655,2236.681515776805,1786.1923516533568,2575.578026931314
2009,1733.5002241948494,1272.3414929601456,1629.306069326876,6144.799793261443,5630.296973392537,6381.147849684315,40881044.66665984,41981625.31839839,37807268.73245207,2044.7355462601647,2279.5539300309547,2486.6019006803326,17454.503841996837,13045.681899008012,17174.333697749837,614996.899344396,691873.2394666055,772891.0287358912,458.22791792949823,522.8016108310323,625.3880974764354,16179.448206292434,16679.102828166273,19142.22255708006,1973.6405245923893,1827.9225665368024,2259.39229153185
2010,2433.4972707506013,1638.5102217101255,1546.8068703146866,8843.103441796009,6834.477485406181,6215.900732765764,50645378.4544076,41397340.8900164,38596135.624148235,2519.239919863488,2479.057271565026,2266.6042949174325,25571.51959750099,15688.029956666394,13540.430179937835,833038.9494083966,811805.8115875869,864751.8788159688,600.997205919358,606.6437179930856,616.7061496745334,23876.78510884921,21277.23319148133,19671.849434759097,2534.675339260268,2165.903305655069,1923.3475798616855
2011,2572.447222203633,1690.2688289621933,1480.4907750552247,10039.597084202684,6942.99518683605,6246.9899409671625,62872732.99686522,32133753.31045417,38726191.754259616,2729.332688671689,2409.503651139671,2243.739952115478,26074.83304763287,14490.339987493518,12856.340052138883,1411468.9593845352,1220739.6205636691,912470.587456153,731.8453773999267,670.5426447996235,578.040644087246,29642.487911533448,23895.676873698347,20116.870263270295,2496.573711723138,2037.889401797308,1911.5030872132215
2012,2137.9091863623853,1450.443292301345,1528.8413023232583,8861.804590536607,6240.322481142975,6199.919009148334,65571550.79522585,37528124.11701693,39047205.11825013,2298.4870685442734,2032.4459458505169,2182.0023105725486,19536.85989573413,11393.773208087618,12508.769495562867,1222740.666224131,1054340.6846774188,899436.242795345,624.1979112439627,569.7380545957506,580.3860675792008,23526.839724684007,19202.100419042043,20641.63628282927,2171.553479009524,1798.830273665891,1938.6186576518535
2013,1976.463067027287,1350.8900393423144,1547.424225361617,8048.733649413106,5586.857578058069,6138.702977156727,54663901.77479262,40590115.1354122,39357722.1742662,2349.4042928108006,2018.1389619912236,2136.1418966243427,16503.57401038717,9663.875209438873,11988.157811737388,923501.2073969018,783593.5809854851,875917.2006068373,582.2341919831002,520.4771922167384,556.4588607575515,24459.822079975176,19530.23800396348,20271.80844768404,2097.5877377162183,1726.9698884110378,1935.447794258246
2014,2105.01157626242,1514.0941293003132,1542.3658692265863,7412.3646224158365,5394.942314298394,5999.265744544951,48232356.940481015,43586692.13835097,41281568.67459611,2262.6807941391094,1970.865722316305,2136.8607971611755,18227.510097862312,11307.82911612793,11474.443444020557,726452.5484789056,626701.5161625647,786604.3004897954,593.3839197940157,534.528728290806,532.583461815304,23642.92020685825,19302.932925961148,19959.432392768147,2333.50456071516,1963.500418729963,2005.9329682334835
2015,1860.6688327553431,1731.424836901918,1598.1519691084884,5947.110637503623,6528.397325448147,6119.94096081805,44162631.65726782,42949926.1700967,42307012.629062906,1928.3859504932173,2249.7552018239994,2254.2534512335146,12800.883120449347,13084.971537539002,11469.624055142658,597359.3368942915,694210.6006450487,712757.6591395711,421.4631173701228,487.00768388483897,536.4455988036148,17342.605642778577,19428.094015755185,20584.301294531913,2083.452914225616,2150.0489886870305,2260.341377095856
2016,1656.6902430762484,1664.977048287041,1642.3592672536065,5185.039242848487,6245.809023777171,6218.856860144796,46878313.061445646,41752985.812103726,43674174.41032926,1987.0894574946808,2413.098153823832,2282.9734027953778,10212.12979563692,11921.768148909368,11911.837549449507,641715.0145733911,774175.1199784596,663785.9445126134,466.5163898379971,551.1656500883856,566.6169912216928,19100.524687104025,22333.79659911889,20538.731052346695,2224.1514299011574,2390.3152716734958,2481.264489498243
2017,1781.154737058852,1729.3737917108551,1604.0396952342446,6435.302946173061,6843.698562508468,6342.356839671347,46299989.52174863,42655343.88935088,44782544.44317278,2413.0369068928667,2619.4092162122142,2288.2274473519183,10862.140297923768,11369.676263698118,12431.742965817615,627707.0116919884,685107.4779262978,652697.758187529,544.5537357224504,589.0487395373045,561.4782886627637,20923.62063426917,22326.444927860863,20410.861401562906,3014.6614997864726,3070.872317977752,2598.759972426282
2018,1702.0039799775725,1571.926530067905,1570.1012378401238,6648.475907080436,6081.437074691799,6663.775624712645,45609011.21192584,47425924.04174401,45890700.307304226,2282.083643905025,2161.738719800539,2295.879086319744,13347.658015239473,11874.942680973109,13584.777488165728,564174.4869873716,538735.0078506956,691800.6243349394,707.1966609970564,671.3341543071292,581.4895134043111,20511.570733889243,19302.3867930374,20788.79227271229,2976.737066311099,2831.585450422974,2682.748585772956
2019,1322.4962692035033,1322.4962692035033,1631.8233759173238,6012.442211931147,6012.442211931147,7025.439854825345,49128542.30256859,49128542.30256859,46212040.90132334,1997.1359450990085,1997.1359450990085,2211.3187431516003,13907.356197968473,13907.356197968473,14339.024325182158,571260.5845371437,571260.5845371437,696540.9561339107,508.8352154961597,508.8352154961597,703.6363737766308,18663.58467204219,18663.58467204219,21986.64512927591,2550.977833370156,2550.977833370156,2748.8933356690713
2020,1368.6928867288632,1561.7325499313145,1688.3245100139452,6096.641962155219,8135.491250654642,7060.029450227657,61699902.44977284,48490705.490753934,47312263.83066151,1801.7110112276048,2288.0133966631265,2035.4441769607615,13613.633386009513,18850.14414927956,15288.435081213776,714287.3546619192,889724.9313821004,681673.2130937565,482.4809525954506,587.0638075925759,744.3209565472669,16917.205094163768,21317.748371502115,23837.365946642945,2237.3336374270625,2569.992055420401,2719.3527216890993
2021,2105.7281510521225,1973.5877386730403,1717.424005000455,8780.037113402257,8054.13017434067,7304.677544111622,59939197.04102779,43359688.78219931,47283848.77789089,2073.7677220276305,1990.2964379831133,2003.870541250817,17404.70848230326,15693.00233399153,16141.808181273944,838164.3357854238,797876.7789733161,717407.7644045217,1240.3479293767366,1161.8999519499837,762.5676571073013,30445.56016028079,28323.06088193698,24971.11073504433,2830.682319375961,2721.039021154074,2691.294539505631
2022,2241.4776367733066,2011.8794621939635,1849.0665835994394,8931.955988487865,7016.646539520036,7735.422654838448,58649686.5554349,48156458.536041714,46668950.93633166,2095.4112913533663,1740.03638525802,2006.1154066347535,20949.25110369322,16116.730043856216,16886.625509042435,743823.448140126,610768.7627255268,766123.4910269812,945.376676758903,792.471653390486,847.1451376443484,38769.30462832839,31580.049014696036,27073.61942271171,3268.218690204085,2923.1692480778925,2738.0667748841224
