,Commodity,Year,China,Rest of World
51,Au,2014.0,0.36436556266140974,0.6356344373385903
52,Au,2015.0,0.37034991965811936,0.6296500803418806
53,Au,2016.0,0.37990871027618106,0.6200912897238189
54,Au,2017.0,0.38819600119280046,0.6118039988071995
55,Au,2018.0,0.3986219349005302,0.6013780650994698
56,Au,2019.0,0.4076929708577612,0.5923070291422388
57,Cu,2001.0,0.1375621764454181,0.8624378235545819
58,Cu,2002.0,0.15005201939276927,0.8499479806072308
59,Cu,2003.0,0.1709679261624843,0.8290320738375156
60,Cu,2004.0,0.18065692602797298,0.819343073972027
61,Cu,2005.0,0.196437503471853,0.803562496528147
62,Cu,2006.0,0.21768302375222576,0.7823169762477742
63,Cu,2007.0,0.24149615773300867,0.7585038422669913
64,Cu,2008.0,0.2636193315932635,0.7363806684067364
65,Cu,2009.0,0.30338653752544104,0.696613462474559
66,Cu,2010.0,0.3257173410285416,0.6742826589714583
67,Cu,2011.0,0.3424752620345464,0.6575247379654536
68,Cu,2012.0,0.35351929762176687,0.6464807023782331
69,Cu,2013.0,0.36666200855746445,0.6333379914425356
70,Cu,2014.0,0.375925271343167,0.624074728656833
71,Cu,2015.0,0.38393179768005964,0.6160682023199404
72,Cu,2016.0,0.3940095909060945,0.6059904090939054
73,Cu,2017.0,0.4052115531852673,0.5947884468147326
74,Cu,2018.0,0.4175842657884428,0.5824157342115572
75,Cu,2019.0,0.42732749536447734,0.5726725046355227
76,Ni,2001.0,0.1384897967823565,0.8615102032176435
77,Ni,2002.0,0.15616694437370954,0.8438330556262905
78,Ni,2003.0,0.1886035392154837,0.8113964607845163
79,Ni,2004.0,0.19761913036077486,0.8023808696392252
80,Ni,2005.0,0.21373554096491781,0.7862644590350822
81,Ni,2006.0,0.23517463126928323,0.7648253687307167
82,Ni,2007.0,0.2600222359164934,0.7399777640835066
83,Ni,2008.0,0.2828682487207195,0.7171317512792805
84,Ni,2009.0,0.32867303638109235,0.6713269636189076
85,Ni,2010.0,0.34907257781157586,0.6509274221884241
86,Ni,2011.0,0.3660827326201832,0.6339172673798168
87,Ni,2012.0,0.3770327908942848,0.6229672091057152
88,Ni,2013.0,0.39288378773463695,0.607116212265363
89,Ni,2014.0,0.4027462944043318,0.5972537055956681
90,Ni,2015.0,0.41063196226318466,0.5893680377368153
91,Ni,2016.0,0.4219067996400372,0.5780932003599628
92,Ni,2017.0,0.43222623890950035,0.5677737610904996
93,Ni,2018.0,0.4443993008814905,0.5556006991185095
94,Ni,2019.0,0.4534800111020733,0.5465199888979266
95,Pb,2001.0,0.10914418986052611,0.8908558101394739
96,Pb,2002.0,0.12837141228017912,0.8716285877198209
97,Pb,2003.0,0.16110587991659692,0.838894120083403
98,Pb,2004.0,0.1694649024740251,0.8305350975259749
99,Pb,2005.0,0.18437950458579255,0.8156204954142074
100,Pb,2006.0,0.20785434383854776,0.7921456561614523
101,Pb,2007.0,0.23626420275525728,0.7637357972447427
102,Pb,2008.0,0.2602781356008154,0.7397218643991845
103,Pb,2009.0,0.32284475177676614,0.6771552482232339
104,Pb,2010.0,0.3473585129472438,0.6526414870527562
105,Pb,2011.0,0.3540317044371955,0.6459682955628046
106,Pb,2012.0,0.354844027281701,0.6451559727182989
107,Pb,2013.0,0.37810205261969715,0.6218979473803028
108,Pb,2014.0,0.38332912715861944,0.6166708728413806
109,Pb,2015.0,0.3942717202322289,0.6057282797677711
110,Pb,2016.0,0.4114706462985986,0.5885293537014014
111,Pb,2017.0,0.4226125079545887,0.5773874920454113
112,Pb,2018.0,0.4395024631532887,0.5604975368467113
113,Pb,2019.0,0.45074155156932405,0.549258448430676
114,Sn,2001.0,0.12568602311757263,0.8743139768824274
115,Sn,2002.0,0.13936014439192562,0.8606398556080743
116,Sn,2003.0,0.1649730306720066,0.8350269693279934
117,Sn,2004.0,0.17442225676301648,0.8255777432369835
118,Sn,2005.0,0.19019255492361437,0.8098074450763857
119,Sn,2006.0,0.211587984653685,0.788412015346315
120,Sn,2007.0,0.23532646840965057,0.7646735315903495
121,Sn,2008.0,0.2575560316924692,0.7424439683075308
122,Sn,2009.0,0.29591925831230603,0.704080741687694
123,Sn,2010.0,0.3147499500613084,0.6852500499386915
124,Sn,2011.0,0.333555574101251,0.666444425898749
125,Sn,2012.0,0.34644701500703146,0.6535529849929685
126,Sn,2013.0,0.35990746290059017,0.6400925370994098
127,Sn,2014.0,0.3708128808761803,0.6291871191238196
128,Sn,2015.0,0.3797478674864879,0.6202521325135121
129,Sn,2016.0,0.3903769707139497,0.6096230292860503
130,Sn,2017.0,0.4014276405647545,0.5985723594352454
131,Sn,2018.0,0.41434561600683467,0.5856543839931654
132,Sn,2019.0,0.4255695531132531,0.5744304468867469
133,Steel,2001.0,0.13404767122518654,0.8659523287748134
134,Steel,2002.0,0.15161639759315948,0.8483836024068405
135,Steel,2003.0,0.1838981770319398,0.8161018229680602
136,Steel,2004.0,0.19103299365443333,0.8089670063455667
137,Steel,2005.0,0.20653912405469163,0.7934608759453083
138,Steel,2006.0,0.22556978203886618,0.7744302179611338
139,Steel,2007.0,0.24946970019759881,0.7505302998024012
140,Steel,2008.0,0.2745663424196342,0.7254336575803658
141,Steel,2009.0,0.3274618630582292,0.6725381369417708
142,Steel,2010.0,0.35212075015314415,0.6478792498468559
143,Steel,2011.0,0.3707922801329711,0.629207719867029
144,Steel,2012.0,0.38176568408558426,0.6182343159144157
145,Steel,2013.0,0.3967926005729015,0.6032073994270986
146,Steel,2014.0,0.40615523228668393,0.5938447677133161
147,Steel,2015.0,0.411361256680898,0.588638743319102
148,Steel,2016.0,0.4217043377695057,0.5782956622304942
149,Steel,2017.0,0.4339547441997819,0.566045255800218
150,Steel,2018.0,0.4469354446188332,0.5530645553811668
151,Steel,2019.0,0.4569557802191749,0.5430442197808252
152,Zn,2001.0,0.12798547634716645,0.8720145236528336
153,Zn,2002.0,0.13967939838290724,0.8603206016170928
154,Zn,2003.0,0.15996489663627905,0.840035103363721
155,Zn,2004.0,0.1674763476876325,0.8325236523123675
156,Zn,2005.0,0.18040033212579176,0.8195996678742082
157,Zn,2006.0,0.1986552551256249,0.8013447448743751
158,Zn,2007.0,0.21912164544595042,0.7808783545540496
159,Zn,2008.0,0.23806872682205185,0.7619312731779482
160,Zn,2009.0,0.2774812016471308,0.7225187983528691
161,Zn,2010.0,0.299481030017173,0.7005189699828269
162,Zn,2011.0,0.31020392474167363,0.6897960752583263
163,Zn,2012.0,0.3166266651138719,0.6833733348861282
164,Zn,2013.0,0.33070944805544045,0.6692905519445596
165,Zn,2014.0,0.3377694024808931,0.662230597519107
166,Zn,2015.0,0.3443838184481531,0.6556161815518469
167,Zn,2016.0,0.35366003858420947,0.6463399614157905
168,Zn,2017.0,0.3632964326185802,0.6367035673814199
169,Zn,2018.0,0.37498517688641797,0.625014823113582
170,Zn,2019.0,0.3827048338388949,0.617295166161105
