,"Demand, varying dematerialization","Demand, varying dematerialization","Demand, varying dematerialization","Demand, varying dematerialization","Demand, varying price","Demand, varying price","Demand, varying price","Demand, varying price"
,-0.03,-0.02,-0.01,0.0,-3.0,-1.0,1.0,3.0
1930,72.02561931063995,72.02561931063998,72.02561931063995,72.02561931063995,72.02561931063995,72.02561931063995,72.02561931063995,72.02561931063995
1931,74.18638788995915,74.18638788995918,74.18638788995916,74.18638788995916,74.18638788995915,74.18638788995915,74.18638788995915,74.18638788995915
1932,76.41197952665793,76.41197952665794,76.41197952665793,76.41197952665793,76.41197952665793,76.41197952665793,76.41197952665793,76.41197952665793
1933,78.70433891245767,78.7043389124577,78.70433891245769,78.70433891245769,78.70433891245767,78.70433891245767,78.70433891245767,78.70433891245767
1934,81.06546907983142,81.06546907983142,81.06546907983142,81.06546907983142,81.06546907983142,81.06546907983142,81.06546907983142,81.06546907983142
1935,83.49743315222634,83.49743315222639,83.49743315222636,83.49743315222638,83.49743315222634,83.49743315222634,83.49743315222634,83.49743315222634
1936,86.00235614679316,86.00235614679316,86.00235614679313,86.00235614679316,86.00235614679316,86.00235614679316,86.00235614679316,86.00235614679316
1937,88.5824268311969,88.58242683119695,88.58242683119694,88.58242683119694,88.5824268311969,88.5824268311969,88.5824268311969,88.5824268311969
1938,91.23989963613286,91.23989963613289,91.23989963613286,91.23989963613286,91.23989963613286,91.23989963613286,91.23989963613286,91.23989963613286
1939,93.97709662521683,93.97709662521686,93.97709662521684,93.97709662521684,93.97709662521683,93.97709662521683,93.97709662521683,93.97709662521683
1940,96.79640952397335,96.79640952397338,96.79640952397337,96.79640952397335,96.79640952397335,96.79640952397335,96.79640952397335,96.79640952397335
1941,99.70030180969256,99.70030180969258,99.70030180969258,99.70030180969258,99.70030180969256,99.70030180969256,99.70030180969256,99.70030180969256
1942,102.69131086398333,102.69131086398335,102.69131086398335,102.69131086398333,102.69131086398333,102.69131086398333,102.69131086398333,102.69131086398333
1943,105.77205018990286,105.77205018990286,105.77205018990286,105.77205018990286,105.77205018990286,105.77205018990286,105.77205018990286,105.77205018990286
1944,108.94521169559994,108.94521169559997,108.94521169559994,108.94521169559994,108.94521169559994,108.94521169559994,108.94521169559994,108.94521169559994
1945,112.21356804646794,112.21356804646797,112.21356804646794,112.21356804646794,112.21356804646794,112.21356804646794,112.21356804646794,112.21356804646794
1946,115.57997508786195,115.579975087862,115.57997508786195,115.57997508786195,115.57997508786195,115.57997508786195,115.57997508786195,115.57997508786195
1947,119.04737434049781,119.04737434049784,119.04737434049781,119.04737434049781,119.04737434049781,119.04737434049781,119.04737434049781,119.04737434049781
1948,122.61879557071275,122.61879557071279,122.61879557071276,122.61879557071278,122.61879557071275,122.61879557071275,122.61879557071275,122.61879557071275
1949,126.29735943783415,126.29735943783417,126.29735943783417,126.29735943783417,126.29735943783415,126.29735943783415,126.29735943783415,126.29735943783415
1950,130.08628022096917,130.0862802209692,130.0862802209692,130.0862802209692,130.08628022096917,130.08628022096917,130.08628022096917,130.08628022096917
1951,133.98886862759826,133.9888686275983,133.98886862759826,133.98886862759826,133.98886862759826,133.98886862759826,133.98886862759826,133.98886862759826
