,,,,0
b,b,Scrap spread elasticity to SD,Al,7.508738669751535
b,b,Scrap spread elasticity to SD,Au,12.810053906542187
b,b,Scrap spread elasticity to SD,Cu,3.916639120152133
b,b,Scrap spread elasticity to SD,Ni,4.530482437968404
b,b,Scrap spread elasticity to SD,Pb,5.263917182928516
b,b,Scrap spread elasticity to SD,Sn,5.051637691757727
b,b,Scrap spread elasticity to SD,Steel,6.579626024848306
b,b,Scrap spread elasticity to SD,Zn,1.4609240461242796
b,b,Scrap spread elasticity to price,Ag,8.762027122281047
b,b,Scrap spread elasticity to price,Al,4.791447267994479
b,b,Scrap spread elasticity to price,Au,7.644894870809568
b,b,Scrap spread elasticity to price,Cu,8.784199917814888
b,b,Scrap spread elasticity to price,Ni,10.725147249418834
b,b,Scrap spread elasticity to price,Pb,5.35900503075674
b,b,Scrap spread elasticity to price,Sn,7.674543470397438
b,b,Scrap spread elasticity to price,Steel,6.343616593718739
b,b,Scrap spread elasticity to price,Zn,5.6775886954762464
b,b,Secondary refinery CU elasticity to TCRC,Ag,8.959454670921467
b,b,Secondary refinery CU elasticity to TCRC,Au,7.933586794631835
b,b,Secondary refinery CU elasticity to TCRC,Cu,19.91703339509754
b,b,Secondary refinery CU elasticity to TCRC,Ni,10.618077525388808
b,b,Secondary refinery CU elasticity to TCRC,Pb,9.66956899491575
b,b,Secondary refinery CU elasticity to TCRC,Sn,7.841938943956378
b,b,Secondary refinery CU elasticity to TCRC,Steel,3.3778387896116557
b,b,Secondary refinery CU elasticity to TCRC,Zn,4.793099677173447
b,b,Secondary refinery CU elasticity to price,Ag,7.445095121777295
b,b,Secondary refinery CU elasticity to price,Au,6.971439283580307
b,b,Secondary refinery CU elasticity to price,Cu,11.764493412363585
b,b,Secondary refinery CU elasticity to price,Ni,4.880192889584669
b,b,Secondary refinery CU elasticity to price,Pb,14.986907918314232
b,b,Secondary refinery CU elasticity to price,Sn,10.644597308726414
b,b,Secondary refinery CU elasticity to price,Steel,5.543875028048554
b,b,Secondary refinery CU elasticity to price,Zn,11.520295935710207
b,b,TCRC elasticity to SD,Ag,2.6766788219753352
b,b,TCRC elasticity to SD,Al,2.5916054280824494
b,b,TCRC elasticity to SD,Au,5.668720747301592
b,b,TCRC elasticity to SD,Cu,0.5118104138214226
b,b,TCRC elasticity to SD,Ni,11.722743806262288
b,b,TCRC elasticity to SD,Pb,6.69200389080674
b,b,TCRC elasticity to SD,Sn,3.1946226691100517
b,b,TCRC elasticity to SD,Steel,11.708424801326403
b,b,TCRC elasticity to SD,Zn,6.415149031468248
b,b,TCRC elasticity to price,Ag,5.369113628468444
b,b,TCRC elasticity to price,Al,7.547910827452188
b,b,TCRC elasticity to price,Au,11.956155163109111
b,b,TCRC elasticity to price,Cu,3.7094116079349737
b,b,TCRC elasticity to price,Ni,1.2058965516769242
b,b,TCRC elasticity to price,Pb,2.080029779282284
b,b,TCRC elasticity to price,Sn,4.06059249021573
b,b,TCRC elasticity to price,Steel,13.180667922227643
b,b,TCRC elasticity to price,Zn,5.79927188239168
