,diff(Aluminum),log(Aluminum),Aluminum original,diff(Steel),log(Steel),Steel original,diff(Gold),log(Gold),Gold original,diff(Tin),log(Tin),Tin original,diff(Copper),log(Copper),Copper original,diff(Nickel),log(Nickel),Nickel original,diff(Silver),log(Silver),Silver original,diff(Zinc),log(Zinc),Zinc original,diff(Lead),log(Lead),Lead original,diff(Platinum),log(Platinum),Platinum original,diff(Lithium),log(Lithium),Lithium original,diff(Si),log(Si),Si original,diff(Cobalt),log(Cobalt),Cobalt original,diff(Rees),log(Rees),Rees original,diff(Tungstate),log(Tungstate),Tungstate original,diff(Tantalum),log(Tantalum),Tantalum original,diff(Molybdenum),log(Molybdenum),Molybdenum original
2016,1735.3826898338557,1664.977048287041,1656.6902430762484,490.9617387814228,551.1656500883856,466.5163898379971,44859329.69180452,41752985.812103726,46878313.061445646,19920.41453928553,22333.796599118894,19100.524687104025,5530.300528917509,6245.809023777171,5185.0392428484865,10871.034903152517,11921.768148909367,10212.12979563692,719635.1812172795,774175.1199784596,641715.0145733911,2277.276458531302,2390.3152716734953,2224.1514299011574,2048.6167565771593,2413.098153823832,1987.0894574946808,38911278.21270947,42905110.44051314,37059232.28322871,9421.361001587842,9989.7421710327,7922.3386382704475,16.682316844494103,23.328389813174578,18.192295021074766,27054.4376929211,36369.62204802842,27054.437692921103,1668.6989528867307,3386.77279977892,1668.6989528867307,20408.300953215243,30239.132841000035,20408.30095321525,194938.16296300173,260630.35285328017,194938.16296300173,23572.990254367265,17582.107514495518,14918.234432343661
2017,1808.9682108999625,1729.3737917108551,1781.154737058852,553.1938289129582,589.0487395373045,544.5537357224504,44894987.932935126,42655343.88935088,46299989.52174863,21213.40683225695,22326.444927860863,20923.62063426917,6557.33391793848,6843.698562508468,6435.302946173061,11095.027197833102,11369.676263698118,10862.140297923768,704015.6163514587,685107.4779262978,627707.0116919884,3033.438290380672,3070.8723179777517,3014.6614997864726,2434.7834403157754,2619.4092162122142,2413.0369068928667,35550398.923282266,36399793.74314038,34895802.03203526,13192.756878928736,13849.115467615102,12285.439442484798,16.907727670304965,20.558064267211012,17.79517524783093,57859.90068449223,66528.56677753583,57859.90068449225,2144.333933518179,3127.4358178134144,2144.3339335181786,24763.47901208268,30869.382879949404,24763.47901208268,223025.9612676004,262582.4006908816,223025.96126760042,24344.347639742275,17167.64537775462,16227.356513753497
2018,1637.0987422647659,1571.926530067905,1702.0039799775723,687.0342280124428,671.3341543071292,707.1966609970564,46155897.49914789,47425924.04174401,45609011.21192584,19835.32863001777,19302.386793037396,20511.570733889243,6363.705681109887,6081.437074691799,6648.475907080436,12804.195530647863,11874.942680973109,13347.658015239473,628841.3393454817,538735.0078506956,564174.4869873716,2932.919740076979,2831.5854504229746,2976.737066311099,2231.336156219504,2161.738719800539,2282.083643905025,30062200.36374368,28643534.64574781,31589760.96531265,17093.248837838062,17093.248837838062,17093.248837838062,15.994060412410603,15.9940604124106,15.9940604124106,74457.16751640862,72213.34370363902,74457.16751640862,2197.035194375288,2197.0351943752885,2197.0351943752885,32248.938214135535,32248.938214135535,32248.938214135535,276630.04703836894,276630.04703836894,276630.04703836894,26005.27251662231,20696.003473565645,23311.04294657015
2019,1322.496269203503,1322.4962692035033,1322.4962692035033,508.8352154961597,508.8352154961597,508.8352154961597,49128542.30256858,49128542.30256859,49128542.30256859,18663.584672042187,18663.58467204219,18663.58467204219,6012.442211931148,6012.442211931147,6012.442211931147,13907.35619796847,13907.356197968473,13907.356197968473,571260.5845371437,571260.5845371437,571260.5845371437,2550.9778333701556,2550.9778333701556,2550.9778333701556,1997.1359450990083,1997.1359450990083,1997.1359450990083,30458944.087577656,30458944.087577656,30458944.087577656,12476.202995230447,12591.45443133988,13407.549177868881,18.39396094023057,17.1479707482465,16.194947682064516,33426.287851367466,33426.28785136747,33426.28785136747,1902.1167488185872,2527.7310636263137,1902.1167488185872,24519.84786166497,26543.561302749375,24519.847861664977,194940.98210317045,216288.23927218973,194940.98210317045,25156.395923875545,25156.39592387555,25156.39592387555
2020,1498.5334792870765,1561.7325499313145,1368.6928867288632,522.8151742760065,587.0638075925759,482.4809525954506,57781689.10981736,48490705.490753934,61699902.44977284,18270.003089727707,21317.748371502115,16917.205094163768,6666.314552317488,8135.491250654642,6096.641962155219,14700.810531015335,18850.144149279557,13613.633386009511,452267.08154290426,889724.9313821004,714287.3546619192,2324.9886218788356,2569.992055420401,2237.3336374270625,1903.2295342947905,2288.0133966631265,1801.7110112276048,33828563.18670298,41356324.88278217,30772733.169502962,8835.40724363333,9231.217855697441,9006.701024839307,22.300803825984758,27.366999220990397,20.249684035321177,31060.203606214578,38741.14888870906,31060.20360621458,1653.7378766995873,6133.764334332753,1653.7378766995873,22369.52873745588,35694.15316270625,22369.52873745588,183346.7279186939,286313.425759924,183346.727918694,,,
2021,2055.593189564109,1973.5877386730403,2105.7281510521225,1224.7737964283137,1161.8999519499835,1240.3479293767366,54391612.99161103,43359688.78219931,59939197.04102779,29923.208297335852,28323.06088193698,30445.56016028079,8560.071131995042,8054.13017434067,8780.037113402257,16984.92000766982,15693.00233399153,17404.70848230326,563607.1981193454,797876.7789733161,838164.3357854238,2796.8363611656896,2721.039021154074,2830.6823193759606,2034.5686769215222,1990.2964379831135,2073.7677220276305,35185853.16211189,33585331.18839121,36365791.70989345,6737.57386488478,7345.27454586555,7092.776705749522,24.485871057824795,24.0845245325445,23.761533588065532,48014.77565970912,46824.59534982225,48014.77565970912,1406.3433052582025,1497.9593117094175,1406.3433052582025,26108.96219225522,26540.941357142463,26108.96219225523,197510.93907363142,201691.00568007052,197510.93907363145,,,
2022,2083.9808419081255,2011.8794621939633,2241.4776367733066,896.4512173712999,792.471653390486,945.376676758903,55817595.56534216,48156458.536041714,58649686.5554349,37128.35903339948,31580.049014696033,38769.30462832839,8240.94245177071,7016.646539520036,8931.955988487865,19630.50391981601,16116.730043856216,20949.25110369322,467524.67701998627,610768.7627255268,743823.448140126,3161.8930886868116,2923.1692480778925,3268.218690204085,1972.2692008290958,1740.0363852580201,2095.4112913533663,28911302.862022597,26057707.81827628,32618028.346551143,8031.602948760663,8939.359088681877,10022.887175321517,23.841240646455866,18.27236221978408,21.087017297162948,64227.82378140284,51875.871552505196,64227.82378140281,1326.1452547799722,933.1518491690764,1326.145254779972,29224.74735681294,23696.98841376584,29224.747356812935,,,,,,
1990,,,,,,,32126109.58962523,56725165.38599491,25879548.540848527,12802.188638033263,22075.48962860371,12120.044538611523,4860.29847269045,6506.748099862238,5193.988050836508,,,,838430.5017357056,632854.1384977888,294715.4282223572,3016.2021882292365,3194.229749962722,2972.0024402810927,,,,34132389.644962616,38075566.942467816,32591497.049095135,,,,4.28918974282739,22.667129004180932,9.471693622253857,,,,,,,,,,136476.08418410362,201273.34588722678,136476.08418410362,,,
1991,,,,,,,29921761.091091234,53591163.88369099,23995033.33261719,11733.855714582814,20090.97123851547,10500.082024435915,4906.234659017462,7271.786157280719,4386.684026887008,,,,907143.0739829454,703103.5531207297,268264.1605149412,2177.225552578345,2359.0229136195753,2097.282786561937,,,,27683231.84177299,31813306.41846661,24896265.355168406,,,,2.914182887737862,18.91684130000722,7.605152818363134,,,,,,,,,,120458.5668560767,192149.466223671,120458.56685607671,,,
1992,,,,,,,28222367.16648673,51133748.20556631,22099923.204549644,12560.566662519723,21645.991721302264,11113.987090144277,4765.215306358713,7179.232061667323,4156.050645727009,,,,944262.6869862338,675717.2093234062,253712.7985060236,2354.446481762685,2593.349282747286,2260.7148896546096,,,,26384312.421797335,31155583.987254445,23116639.57335368,,,,2.692166073736337,18.265256018317924,7.192629089585065,,,,,,,,,,111727.86325326319,187416.57793214006,111727.86325326322,,,
