,,Primary commodity price  R2,Primary commodity price  RMSE,Primary commodity price test R2,Primary commodity price test RMSE,Primary commodity price train R2,Primary commodity price train RMSE,Primary supply  R2,Primary supply  RMSE,Primary supply test R2,Primary supply test RMSE,Primary supply train R2,Primary supply train RMSE,Total demand  R2,Total demand  RMSE,Total demand test R2,Total demand test RMSE,Total demand train R2,Total demand train RMSE,collection_elas_scrap_price,direct_melt_elas_scrap_spread,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,region_specific_price_response,score,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd
gold,18,0.0,0.0,0.0,0.0,-40.81223722439966,0.6489442146241322,0.0,0.0,0.0,0.0,-25587.435180232587,29.58572168325995,0.0,0.0,0.0,0.0,-1726.9302797912292,5.295294979692418,0.30164926337024,0.1135430804401645,2.67030303811144,0.3825775352287209,-0.6491638311103072,0.9883425166905936,2.67030303811144,-0.2318286509873726,0.3526978962302871,0.6153760502431288,0.7845135320497951,-0.1406141838743115,0.8552790823663297,0.9618189896014474,0.155688418559167,-0.2396286303592802,2.4717640202546365,0.4652717994608732,0.8605490338056359,0.9204733512063458,0.7004250322070995,-0.084967357411277,0.6289788064292539,0.0443945065520042,-0.2396286303592802,0.7911359891027722,0.0721306452823204
gold,19,0.0,0.0,0.0,0.0,0.4649601399261042,0.0734089024803642,0.0,0.0,0.0,0.0,-48.685058657055606,1.3036866156526878,0.0,0.0,0.0,0.0,-73.28433880684152,1.097932602497887,0.7548283024545659,0.9151353849448914,0.8825503325871509,0.1898587126771084,-0.7982351555898316,0.8014838857472468,0.8825503325871509,-0.6082749359791142,0.4627098129928085,0.4566617423441705,0.2872018326033646,-0.2154117951670718,0.1010264945149044,0.3864659435067381,0.4833482819965984,-0.1686817251691481,-0.1923605308409151,0.9172456392549956,0.0040749023909295,0.4431029789797217,0.2401928077207944,-0.6121392042782717,0.1684907339136082,-0.0017410127810834,-0.1686817251691481,0.8300244282775863,0.8969170839803167
gold,20,0.0,0.0,0.0,0.0,0.4765713767669793,0.0726079869491463,0.0,0.0,0.0,0.0,-14.816418755900347,0.7355536939260406,0.0,0.0,0.0,0.0,0.5551205405010691,0.0849665975673566,0.0496575158530864,0.8157291852764458,3.202480679667632,0.3417915049601189,-0.9320556171997854,0.0116468832367029,3.202480679667632,-0.9909355015385032,0.1553437709240256,0.4402598807470469,0.9128435945173514,-0.0287046409768507,0.5588645977706761,0.6551489771247009,0.1047671869507051,-0.3662869948250511,-1.2116373482184295,0.2262898289742604,0.8347483756267613,0.7091323633160612,0.9982988736802876,-0.5250864988296138,0.0899949953607798,-0.0134802930599863,-0.3662869948250511,0.2516245421681508,0.4502414777539874
gold,21,0.0,0.0,0.0,0.0,-18.489719671929183,0.4430558328434295,0.0,0.0,0.0,0.0,-19.521769489525163,0.8378527625766072,0.0,0.0,0.0,0.0,-3.241851876991043,0.262364336117838,0.9027129810128802,0.8850691761647281,-0.6685427200644884,0.3337490366423893,-0.4696525252856399,-0.0765518520810703,-0.6685427200644884,-0.8432705745402399,0.2359699926398543,0.7483043594983951,0.1732173863036825,-0.1735022690407159,0.1597978309991868,0.9393001189071346,0.4388638993662321,-0.5833653606824166,-0.6647068472364367,0.9999864647776332,0.836501527655765,0.1919975926636633,0.1616247818919617,-0.5234848031957435,0.0679984439841622,-0.0307265461752559,-0.5833653606824166,0.8243176624878628,0.8438431733893362
gold,22,0.0,0.0,0.0,0.0,-3.4325569126855173,0.2112918873429536,0.0,0.0,0.0,0.0,-1653.863305603324,7.523871445520269,0.0,0.0,0.0,0.0,-951.8215225540424,3.932174926692736,0.0925316228420109,0.6368475205429653,-4.225842247166767,0.3749795524244534,-0.8077380619160748,0.106652000117581,-4.225842247166767,-0.9588407811460262,0.0709050761772596,0.4417380594655383,0.8984333635882609,-0.9102091168188118,0.2181149960541448,0.2731052136189218,0.0791445277286558,-0.2753940094692489,1.3581810476011835,0.6478833133179982,0.5983802847184274,0.9284469389279858,0.5782481817256486,-0.8597605032768929,0.808501014707014,0.0881305826572229,-0.2753940094692489,0.8126201188363669,0.0418085355397591
gold,23,0.0,0.0,0.0,0.0,-7.805283700340995,0.2978018139464536,0.0,0.0,0.0,0.0,-2.3065679792062435,0.3363171633066003,0.0,0.0,0.0,0.0,0.8260714771241324,0.0531266528305394,0.6191521067156779,0.0736503148413159,4.538889927741368,0.1248242742554565,-0.6115510745307738,0.9412875810655348,4.538889927741368,-0.9974186738140876,0.3799230860078336,0.439237366315901,0.9418041062943876,-0.4659596421793227,0.0016334822639795,0.2811698083012732,0.1430309134300266,-0.024540620804105,-1.4736757991793548,0.0840413171674342,0.4192814467207731,0.7105623897927027,0.5892248038354833,-0.94300312295891,0.4880404766021736,-0.0786247670616978,-0.024540620804105,0.8264866097172977,0.7047174886281168
gold,24,0.0,0.0,0.0,0.0,-0.4724516134804808,0.1217800584852588,0.0,0.0,0.0,0.0,-398.4865774635895,3.696676096980988,0.0,0.0,0.0,0.0,-487.35215880470366,2.8150985707936944,0.7591318994045463,0.6222163883127497,-2.027420376408689,0.3219187150843176,-0.6284193892022943,-0.4643492844243693,-2.027420376408689,-0.992298144537117,0.4017994879026384,0.4898547243270501,0.8803540635643698,-0.4199611623307277,0.104139882652749,0.1648088292940898,0.2805463761385611,-0.3505984353735497,0.7935285296553487,0.5767345774432926,0.7888121673737444,0.0023594532217713,0.004432927116918,-0.9078832164289208,0.0281812197245221,0.0956824593445888,-0.3505984353735497,0.1099082714792545,0.6331210469668247
gold,25,0.0,0.0,0.0,0.0,-21.385269350785357,0.4748285505288432,0.0,0.0,0.0,0.0,-11.366315416761472,0.6503998960089257,0.0,0.0,0.0,0.0,-1.887164492233232,0.2164526037055491,0.9762514297226422,0.643288586423012,2.777870957543138,0.4128126208345604,-0.2179929019554041,-0.1452284580092117,2.777870957543138,-0.0402626004623865,0.9347525141727464,0.1486275576282242,0.962066405945565,-0.3466128328481017,0.1509574355455309,0.6098541296148454,0.5808797264435287,-0.3061345954122408,-0.8046889458449094,0.8951306194474103,0.9720262572863017,0.5765794221009176,0.4515396555902654,-0.8310958277540128,0.3002189560064791,-0.054351553255282,-0.3061345954122408,0.0763782187534072,0.8822169020445394
gold,26,0.0,0.0,0.0,0.0,-28.46433444675126,0.5447584555220045,0.0,0.0,0.0,0.0,-56.3671210048671,1.4008506339380444,0.0,0.0,0.0,0.0,-0.240897173248096,0.1419041014263476,0.1407023330763804,0.0764363031240285,4.088229745564387,0.4177440636309772,-0.7210189795186813,0.1213410186103587,4.088229745564387,-0.0156443034984447,0.7380632423274226,0.4898888782672606,0.8316997546734075,-0.2677354418287889,0.3026131812381329,0.3742937899858984,0.77819036548461,-0.0019545875858768,-0.3626387919577056,0.123040385224637,0.1210635240911269,0.4190082628547821,0.710944065647734,-0.1622207895148518,0.3334224185468645,-0.0317275951676672,-0.0019545875858768,0.6284775193044903,0.8339292717727336
gold,27,0.0,0.0,0.0,0.0,0.2340307928587155,0.0878337282657465,0.0,0.0,0.0,0.0,-25.281429582855417,0.9481669123975888,0.0,0.0,0.0,0.0,-16.47315316245314,0.5324915154200837,0.3536786971164526,0.8830022953207471,4.1798848683512695,0.0098995120071236,-0.4865655527225628,0.0836151074558109,4.1798848683512695,-0.2068888357327024,0.500697445275883,0.4171946796788208,0.6096813746549661,-0.0485695098919279,0.3722873932138877,0.386531009864212,0.1493508895655892,-0.2350780014734261,-0.6484975409351623,0.131777983391488,0.6723848680009993,0.9280599492774588,0.7261808698244477,-0.5906632702552468,0.747204159803726,-0.0876744331738615,-0.2350780014734261,0.9450237524163818,0.3156167330488653
