,,Primary commodity price  R2,Primary commodity price  RMSE,Primary commodity price test R2,Primary commodity price test RMSE,Primary commodity price train R2,Primary commodity price train RMSE,Primary supply  R2,Primary supply  RMSE,Primary supply test R2,Primary supply test RMSE,Primary supply train R2,Primary supply train RMSE,Total demand  R2,Total demand  RMSE,Total demand test R2,Total demand test RMSE,Total demand train R2,Total demand train RMSE,collection_elas_scrap_price,direct_melt_elas_scrap_spread,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,region_specific_price_response,score,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd
gold,14,0.0,0.0,0.0,0.0,-35.950370643840415,0.6100494806147849,0.0,0.0,0.0,0.0,-10.948702187827246,0.6393235050995798,0.0,0.0,0.0,0.0,-15.426613151384384,0.516298739949338,0.41494194722198535,0.6267039114324845,-0.778580790104936,0.2876187697313404,-0.5190243690398054,-0.3116354548082427,-0.778580790104936,-0.8737028030480035,0.6612106535606225,0.5948026778939979,0.10029243949997108,-0.29592718163449977,0.17830821932099167,0.7837389385855315,0.8863056715815065,-0.03958111789424414,-0.5300810895728922,0.764394960795598,0.730908572875612,0.48304096315445083,0.37922975258061914,-0.16018807165392274,0.5315301987868049,-0.09240433546649854,-0.03958111789424414,0.6666263176595106,0.4764125755535024
gold,15,0.0,0.0,0.0,0.0,-7.662620895606883,0.29537947652861396,0.0,0.0,0.0,0.0,-3274.2780234614124,10.58484222696127,0.0,0.0,0.0,0.0,-2108.403977299802,5.8506878859701095,0.8436980022452972,0.8001770866834449,-0.35321791366756905,0.057279216447036735,-0.39793216496361,0.5415145182710814,-0.35321791366756905,-0.17592682919125718,0.6460310605527723,0.0010413504915820536,0.1863202368842855,-0.3824464586652325,0.777150451690532,0.2294140381781633,0.6135813239752548,-0.1298072808615064,1.7186455936189826,0.5150240342115034,0.5401760329870657,0.2769505553673177,0.5305043157112218,-0.04059056612843141,0.666104984459982,0.08953256347405308,-0.1298072808615064,0.12215132780052214,0.5220335233223244
gold,16,0.0,0.0,0.0,0.0,-26.535965047550707,0.5266302637780987,0.0,0.0,0.0,0.0,-623.1143365854501,4.620536261231676,0.0,0.0,0.0,0.0,-500.53971466067105,2.8528551048724804,0.5157302298290531,0.9982055537802529,1.0776928469711322,0.2634541348664329,-0.6675843136417494,-0.05450718340111188,1.0776928469711322,-0.26247694767491897,0.8698548236917444,0.8445164775386506,0.6334006999817872,-0.8504739314266564,0.5111668318351318,0.8385340611982726,0.7928960005894902,-0.3490123377590221,0.9808319567433529,0.43847404965309184,0.06932233623238748,0.8927454720217768,0.020635674245334034,-0.213383478339869,0.9128013566694605,0.058850945309164876,-0.3490123377590221,0.02602384524444873,0.15569924802949042
gold,17,0.0,0.0,0.0,0.0,-71.86651642577901,0.8566820472903157,0.0,0.0,0.0,0.0,-2981.150090417016,10.100085545534021,0.0,0.0,0.0,0.0,-1068.9551484730257,4.16686890070253,0.6634611692161464,0.33418433101965067,-4.158081857717155,0.08789064050584408,-0.7159610127481935,0.6983856764527359,-4.158081857717155,-0.3319751408337198,0.0032872005808701446,0.31082012776144236,0.1173110930848807,-0.8009797973459163,0.9905078544112219,0.43687891434649917,0.31470652550268724,-0.5223110943448798,1.6176465619968068,0.16541192197228513,0.7981117997509803,0.34407242805318383,0.1961013078759579,-0.9228116290685392,0.13000291494304314,-0.03683839211922782,-0.5223110943448798,0.6403060097849103,0.7831949255833095
gold,18,0.0,0.0,0.0,0.0,-40.81223722439963,0.6489442146241322,0.0,0.0,0.0,0.0,-25587.435180232587,29.58572168325995,0.0,0.0,0.0,0.0,-1726.930279791229,5.295294979692417,0.30164926337024,0.11354308044016456,2.67030303811144,0.3825775352287209,-0.6491638311103072,0.9883425166905935,2.67030303811144,-0.23182865098737268,0.35269789623028713,0.6153760502431288,0.7845135320497951,-0.14061418387431154,0.8552790823663297,0.9618189896014474,0.15568841855916704,-0.23962863035928023,2.4717640202546365,0.46527179946087327,0.8605490338056359,0.9204733512063458,0.7004250322070995,-0.08496735741127706,0.6289788064292539,0.044394506552004276,-0.23962863035928023,0.7911359891027722,0.07213064528232048
gold,19,0.0,0.0,0.0,0.0,0.4649601399261021,0.07340890248036443,0.0,0.0,0.0,0.0,-48.68505865705546,1.303686615652686,0.0,0.0,0.0,0.0,-73.28433880684146,1.0979326024978866,0.7548283024545659,0.9151353849448914,0.8825503325871509,0.18985871267710844,-0.7982351555898316,0.8014838857472468,0.8825503325871509,-0.6082749359791142,0.46270981299280856,0.4566617423441705,0.2872018326033646,-0.2154117951670718,0.10102649451490447,0.38646594350673813,0.48334828199659846,-0.16868172516914814,-0.19236053084091598,0.9172456392549955,0.004074902390929502,0.44310297897972173,0.2401928077207944,-0.6121392042782717,0.1684907339136082,-0.0017410127810834897,-0.16868172516914814,0.8300244282775863,0.8969170839803167
gold,20,0.0,0.0,0.0,0.0,0.4765713767669789,0.07260798694914641,0.0,0.0,0.0,0.0,-14.816418755900349,0.7355536939260406,0.0,0.0,0.0,0.0,0.5551205405010691,0.08496659756735662,0.049657515853086406,0.8157291852764458,3.202480679667632,0.34179150496011895,-0.9320556171997854,0.011646883236702932,3.202480679667632,-0.9909355015385031,0.15534377092402563,0.44025988074704697,0.9128435945173514,-0.028704640976850753,0.5588645977706761,0.6551489771247009,0.10476718695070511,-0.3662869948250511,-1.2116373482184295,0.22628982897426045,0.8347483756267613,0.7091323633160612,0.9982988736802877,-0.5250864988296138,0.08999499536077982,-0.013480293059986326,-0.3662869948250511,0.25162454216815083,0.4502414777539874
gold,21,0.0,0.0,0.0,0.0,-428.1195328974524,2.0789536355351914,0.0,0.0,0.0,0.0,-9.036916598203144,0.5859498684718036,0.0,0.0,0.0,0.0,-9.458380562408562,0.41196400430147173,0.34646393876478765,0.6013134678722427,1.5174539346211962,0.0018742183376108093,-0.8439358183473071,0.9530718118633448,1.5174539346211962,-0.9949754758697752,0.40460388514325435,0.5391064024173868,0.7835714755288565,-0.28829623853541175,0.24870657950393457,0.08396628646229251,0.25107712115772185,-0.36858450790662034,0.02529974802146147,0.9283842256431891,0.11722229890697428,0.4973669490771809,0.4701735716375686,-0.40303727407266465,0.44660880736260894,0.037500931881290306,-0.36858450790662034,0.513934222328208,0.3509159069457445
gold,22,0.0,0.0,0.0,0.0,-354.307782731759,1.8917250832567931,0.0,0.0,0.0,0.0,-3915.5936086731704,11.574828337213603,0.0,0.0,0.0,0.0,-18.491410036227137,0.5624043604515235,0.910628027156547,0.025365089479965373,4.485621458872135,0.04800588165145821,-0.11615179147443652,-0.4783594127071864,4.485621458872135,-0.906904951503534,0.07173562412412361,0.9881743167468573,0.05228571128852052,-0.2206222719980947,0.49250223323233455,0.6617565192809473,0.9481489308778929,-0.09451234814227692,1.5425113176493506,0.7052440963093809,0.6090212123584576,0.732064154486133,0.6903980031925908,-0.48915636790300815,0.04154148459633968,0.018960854970067248,-0.09451234814227692,0.12278033083210507,0.09624151687092697
gold,23,0.0,0.0,0.0,0.0,-3.269138075032373,0.20736037175032193,0.0,0.0,0.0,0.0,-12.89173758923126,0.689348109539775,0.0,0.0,0.0,0.0,-0.8506161874171441,0.173294679289331,0.24241952542567827,0.9041607276483677,4.172756966150525,0.21056543086311907,-0.032518289844878374,0.2377786021045425,4.172756966150525,-0.9026736893602592,0.10921944304059349,0.5716586328530945,0.03522626736576065,-0.06675777157198616,0.6408958382632919,0.9600852817563033,0.9267164558851433,-0.3879963365324957,-1.030950686386108,0.17586168710996675,0.5079291350545635,0.3937538915015563,0.5403203216047218,-0.2476255937621299,0.4899279777565301,-0.0019868661267282983,-0.3879963365324957,0.17749961510142137,0.10873847614268378
