,,Scrap demand,Grade,collection_elas_scrap_price,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd,direct_melt_elas_scrap_spread,historical_growth_rate,china_fraction_demand,"Recycling input rate, Global","Secondary refinery fraction of recycled content, Global",primary_production_mean,primary_ore_grade_mean,primary_commodity_price,sector_dist_construction,sector_dist_electrical,sector_dist_industrial,sector_dist_other,sector_dist_transport,sector_dist_bar and coin,sector_dist_jewelry
Ni,448,0.35995695599342403,-0.001223116928373293,0.005927719517638923,0.0027021121736977385,0.013759023329829204,0.0008364261956226646,0.0031745425424343954,0.022240904885819826,0.0076869358359321896,0.005136141447355738,0.005643807355110864,0.010056689174362457,0.00848970978856786,1.771760654271573e-05,0.019501844184837802,-0.018149921162077226,-0.0008390663193054392,0.04679005355268253,0.003886052081932906,0.006667259817131682,0.011283899643319365,0.0003095988716682166,0.0028671177383256348,0.0049374618564730615,0.0072781411306899295,0.03969945809427775,-0.008662322006589139,0.004559088371699408,-0.006474436627574999,0.0038313000018821044,0.004736216689537484,-0.00017463180511284997,-6.857720236448975e-05,0.0016037601107389968,0.0017769202698677637,0.002433516747602993,0.0039967950575515885,1.0124830659692535e-05,0.0038874628659812498,-8.792075035699117e-05,0.0005645230218681662
Ni,852,-0.23314961394691439,-0.006599101774615352,-0.010628014290423095,0.006281173958162837,0.016461658220079382,-0.012451920440689336,-0.0073838762090944286,0.018885847446443296,-0.00883636780230835,-0.03122767475934371,-0.006071931859491319,-0.008482171698649814,-0.004687651228033189,0.0010060111289087578,-0.004643464114788025,-0.01652240260501413,0.0035294701557984135,0.007960467647004789,0.006409926830507231,-0.00774176266024272,-0.006470684564727601,-0.060322509300702334,-0.011531500883029813,0.0008307178154946488,-0.007902698102407409,0.02477890799371505,-0.026667412509497404,0.0002242535432209452,-0.027009812635851737,0.0023697436516984674,0.002685933485533485,-0.00993202714932141,-0.006496263956655788,-0.00015096649375860834,-0.0037837545325756063,-0.003440746057780136,-0.0013044296476673308,-0.0035417184747164746,-0.0006400734607205335,0.00020699820042773082,0.00020842680204051535
Zn,312,0.34057746882465073,0.00013001511967298962,0.0014252708231849342,-0.0031959714439782146,-0.016272159385166452,-0.016491152516192084,0.0019067743192957738,0.008223401219956706,-0.007099043305854077,0.0030699371685693083,0.0018486545135271203,0.008254182936487397,0.0022728185577111037,-0.0016011148294371009,0.008351448929472299,0.021105037633933874,-0.002720635801379695,0.02490981858039914,0.01851904993844709,0.00038265720641065404,0.0020908357351210696,0.005904370620731413,0.005924294659007801,0.014371178734781309,0.001841319992684902,0.05599381347558674,-0.006120330073956807,-1.9635657599931132e-06,-0.006315660518358703,0.0005127612368533155,-0.0009106334520036221,-0.0003206141906002034,-2.0147335871283174e-05,0.0022181343652804214,-0.0018759491871468078,-0.005162775546621712,-0.0006340502724835359,0.0016117131817910304,0.003528404772004081,0.0009789065836713594,0.0010369581039436817
Cu,1003,-0.02085962487985424,-0.013648750098260746,-0.02620224955114743,-0.059126993930522016,-0.06712460350390566,-0.04533983075740717,-0.007610514624091442,-0.07826677029924975,-0.04070960485903415,-0.038643750160257825,-0.014245362803881457,-0.021152134319819424,-0.021075811185511873,-0.018544820481211907,-0.0074681198874006595,-0.005698298020499037,-0.03865782686525272,-0.3672946514711058,-0.021060743097500383,-0.014218502475922013,-0.03743053700320195,-0.026908517838654267,-0.020967955644528462,-0.031780192901232046,-0.010983653797976455,-0.17503155249338834,-0.03674291956216154,-0.0061209978062621625,-0.05360033552126897,-0.007521715011790854,-0.05432102288373793,-0.009005032928441873,-0.0036280363824021788,-0.003762536307417546,-0.0348630496712318,-0.10159128184117724,-0.010365975873267706,-0.015416384839834232,-0.016674342104076388,-0.0017216277472414776,-0.0014710266924878206
Pb,656,-0.4124835604809757,0.001523065886315608,0.012367098299158694,0.028040111521467424,0.08592426007892376,0.04273493160314974,0.007569281013459271,0.17594446188991886,0.01863443361542036,0.01519332778308371,0.017021683657974067,0.022836682925748284,0.0244314444833103,0.0037714378948065464,0.022264866153511666,0.051574241889645815,0.013067117058262023,-0.01996299280210045,0.021787715511765744,0.013564206656984441,0.03538299971778201,0.00904121433747638,0.020804965397740738,0.03042507202174486,0.010010906008486965,0.029061845921407273,-0.000602706808433108,0.0014119015272860533,0.02622980349281003,-0.0007633403133915968,0.020361553831713355,0.0024394723108033924,0.0033147109110921876,0.0026133138796210565,0.044536379945590635,0.017680934839252416,0.001361568797453526,0.007230083054572779,0.006479415466385136,0.004168455441843913,0.003195683726189893
Cu,779,0.41438686045259815,-0.0020977239466454726,0.017673572931419305,-0.013296975713963662,0.029486207928528692,0.03829934936398011,-0.0022216308784914845,0.005162453022158225,-0.004536800200417945,0.009364637104303866,-0.004877067536868068,-0.003670688698140483,-0.0018531899087792728,0.0027032900202934684,-0.0010914367038098941,0.015927045788273763,0.01900385522259251,0.04385037970808624,-0.02576300964519244,-0.0017087879958190273,0.014713281046481291,0.001757583578398465,-0.0018652669668376121,-0.011036196848670549,-0.002134777744137836,-0.015591564192762006,0.004713058914900776,0.0008832964047486579,-0.00988400021526316,0.0009711978994801678,-0.0008954549732780613,-0.00288843361256187,-0.0009146159157575064,0.00046377900517187166,-0.004777970682548961,-0.01737525004618305,-0.002333589386476971,-0.0004945478518384278,-0.002734048088856023,0.0006922958269527901,0.0006804881953488524
Sn,592,-0.954849281750135,-0.0005613054383850351,0.012246530215860328,0.03770943200509001,-0.04155070455136309,0.017413276824395408,0.01604179075868335,0.017733443335497562,0.003150262753608188,0.007168810695341961,0.01184197129497431,0.013441258781836779,0.02702340865213052,0.00441029480630551,-0.023810041027746302,0.00578966800422085,-0.008670093538543497,0.08837393733216897,0.0007389955125722682,0.009075496784423046,0.01733168695001235,0.023637176734150105,0.0032936465529825164,0.010781194637378328,0.02903195398558229,0.36001193648287877,-0.009749751921766154,-0.012846943321931406,-0.0185929810114353,-0.017006262449751248,0.0034436301336317077,-0.009045194443089204,-0.005920036443122371,-0.002391085834324329,-0.00033328751400567107,-0.06538279008739896,-0.0008195656763727685,-0.002968454535834241,-0.012555122078136862,0.001194151807138764,0.0007189041776514606
W,107,-0.7314921789694607,-0.008400454885888014,0.007520075933171535,-0.060236549148223635,0.049954654107592165,0.00219047299974178,0.0064094632653409105,0.007427007256289537,0.009458242611804358,0.0023015179444410374,-0.0011184060278084053,0.007592067487024461,-0.0004942361587312851,0.005675710320229805,0.016652899276701678,0.02650962171186403,0.04424781081446292,0.12682021726853185,0.014304912476318106,0.0015989521644713565,0.0073628445908638,0.011580285553834935,-0.0011690235638711203,-0.018267697698909773,0.008803378701232325,0.17208230106142552,-0.01306811056242365,0.007219376794522216,-0.020646365328031088,-0.002094936569140684,0.011927097805586257,-0.006968915803950996,-0.006453209386370254,-0.0024663377442139325,-0.021370856686205007,0.01660143864301844,-0.011019781321953423,-0.022129504415908666,0.016207788480704408,0.000704892030841436,0.0003548224471624935
Al,1030,-0.47525202756402346,-0.0022464638894602105,-0.015152952321250326,-0.007843810206936195,0.006503558303438724,0.005120815913926631,0.006750019681819209,0.02607511917622963,-0.022983263317352138,-0.002479006254786936,-0.004736377060401988,-0.005250490471249928,0.006517158225224198,0.0040966323621832775,0.020447775554669277,0.023575619003261005,0.01657868998569896,0.09916309723254076,0.006383906372845338,0.0023130498018192674,-0.0018970014329753036,-0.02928418298158833,0.0006533822342722705,-0.048835392196945875,-0.005648423362217056,0.1658330578582702,0.05822847662687948,0.005162514644107557,-0.002161679700062891,0.007595927689774215,-0.02381783372546584,0.00019285544934760393,-0.004200193226255412,0.0004418715876310332,-0.003635940041704697,0.008349766702896845,-0.0038721928912898215,-0.00110105311375583,0.006929450931059452,0.000682831119696694,0.00024143960896695957
Steel,1015,0.29544127726297054,0.0029868707280104553,-0.005977377147267078,-0.0012230321308520512,-0.018011956883203215,-0.004780625332014635,0.004150188961816843,0.0008934688957524126,0.0025108047444760617,0.0021483907845451463,-0.00016441426421533596,0.0008529723262292262,0.006126083688392184,0.0010553115981093391,0.005958416120032097,0.011269361924865513,-0.0030736038703064444,0.0516549855580358,-0.007906024023174394,-0.00032191924872060893,-0.0057744092168509255,-0.002694253185308713,0.002082222821388389,0.006529597833601572,-0.002516180101190735,0.08002327268671151,-0.006325897727481127,0.0032640578187334737,-0.0007488239763287657,0.006160521471837628,0.0005217432407412911,0.012298499922955999,0.011965783411291167,0.004351570733407333,0.0028778289202765596,0.00565424624983975,0.004266812555578606,0.0033714864987685698,0.0035173098246233294,0.0018350175952980712,0.0013993586069784706
