,∆Aluminum,log(Aluminum),Aluminum original,∆Steel,log(Steel),Steel original,∆Gold,log(Gold),Gold original,∆Tin,log(Tin),Tin original,∆Copper,log(Copper),Copper original,∆Nickel,log(Nickel),Nickel original,∆Silver,log(Silver),Silver original,∆Zinc,log(Zinc),Zinc original,∆Lead,log(Lead),Lead original,∆Platinum,log(Platinum),Platinum original,∆Lithium,log(Lithium),Lithium original,∆Si,log(Si),Si original,∆Cobalt,log(Cobalt),Cobalt original,∆Rees,log(Rees),Rees original,∆Tungstate,log(Tungstate),Tungstate original,∆Tantalum,log(Tantalum),Tantalum original,∆Molybdenum,log(Molybdenum),Molybdenum original
2016,1735.38269,1664.977048,1656.690243,490.9617388,551.1656501,466.5163898,44859329.69,41752985.81,46878313.06,19920.41454,22333.7966,19100.52469,5530.300529,6245.809024,5185.039243,10871.0349,11921.76815,10212.1298,7196.351812,7741.7512,6417.150146,2277.276459,2390.315272,2224.15143,2048.616757,2413.098154,1987.089457,38911278.21,42905110.44,37059232.28,9421.361002,9989.742171,7922.338638,16.68231684,23.32838981,18.19229502,27054.43769,36369.62205,27054.43769,1668.698953,3386.7728,1668.698953,204.0830095,302.3913284,204.0830095,194.938163,244.4764929,194.938163,23572.99025,17582.10751,14918.23443
2017,1808.968211,1729.373792,1781.154737,553.1938289,589.0487395,544.5537357,44894987.93,42655343.89,46299989.52,21213.40683,22326.44493,20923.62063,6557.333918,6843.698563,6435.302946,11095.0272,11369.67626,10862.1403,7040.156164,6851.074779,6277.070117,3033.43829,3070.872318,3014.6615,2434.78344,2619.409216,2413.036907,35550398.92,36399793.74,34895802.03,13192.75688,13849.11547,12285.43944,16.90772767,20.55806427,17.79517525,57859.90068,66528.56678,57859.90068,2144.333934,3127.435818,2144.333934,247.6347901,308.6938288,247.6347901,223.0259613,253.5375193,223.0259613,24344.34764,17167.64538,16227.35651
2018,1637.098742,1571.92653,1702.00398,687.034228,671.3341543,707.196661,46155897.5,47425924.04,45609011.21,19835.32863,19302.38679,20511.57073,6363.705681,6081.437075,6648.475907,12804.19553,11874.94268,13347.65802,6288.413393,5387.350079,5641.74487,2932.91974,2831.58545,2976.737066,2231.336156,2161.73872,2282.083644,30062200.36,28643534.65,31589760.97,17093.24884,17093.24884,17093.24884,15.99406041,15.99406041,15.99406041,74457.16752,72213.3437,74457.16752,2197.035194,2197.035194,2197.035194,322.4893821,322.4893821,322.4893821,276.630047,276.630047,276.630047,26005.27252,20696.00347,23311.04295
2019,1322.496269,1322.496269,1322.496269,508.8352155,508.8352155,508.8352155,49128542.3,49128542.3,49128542.3,18663.58467,18663.58467,18663.58467,6012.442212,6012.442212,6012.442212,13907.3562,13907.3562,13907.3562,5712.605845,5712.605845,5712.605845,2550.977833,2550.977833,2550.977833,1997.135945,1997.135945,1997.135945,30458944.09,30458944.09,30458944.09,12476.203,12591.45443,13407.54918,18.39396094,17.14797075,16.19494768,33426.28785,33426.28785,33426.28785,1902.116749,2527.731064,1902.116749,245.1984786,265.435613,245.1984786,194.9409821,212.5676426,194.9409821,25156.39592,25156.39592,25156.39592
2020,1498.533479,1561.73255,1368.692887,522.8151743,587.0638076,482.4809526,57781689.11,48490705.49,61699902.45,18270.00309,21317.74837,16917.20509,6666.314552,8135.491251,6096.641962,14700.81053,18850.14415,13613.63339,4522.670815,8897.249314,7142.873547,2324.988622,2569.992055,2237.333637,1903.229534,2288.013397,1801.711011,33828563.19,41356324.88,30772733.17,8835.407244,9231.217856,9006.701025,22.30080383,27.36699922,20.24968404,31060.20361,38741.14889,31060.20361,1653.737877,6133.764334,1653.737877,223.6952874,356.9415316,223.6952874,183.3467279,261.7639961,183.3467279,,,
2021,2055.59319,1973.587739,2105.728151,1224.773796,1161.899952,1240.347929,54391612.99,43359688.78,59939197.04,29923.2083,28323.06088,30445.56016,8560.071132,8054.130174,8780.037113,16984.92001,15693.00233,17404.70848,5636.071981,7978.76779,8381.643358,2796.836361,2721.039021,2830.682319,2034.568677,1990.296438,2073.767722,35185853.16,33585331.19,36365791.71,6737.573865,7345.274546,7092.776706,24.48587106,24.08452453,23.76153359,48014.77566,46824.59535,48014.77566,1406.343305,1497.959312,1406.343305,261.0896219,265.4094136,261.0896219,197.5109391,200.9683054,197.5109391,,,
2022,2083.980842,2011.879462,2241.477637,896.4512174,792.4716534,945.3766768,55817595.57,48156458.54,58649686.56,37128.35903,31580.04901,38769.30463,8240.942452,7016.64654,8931.955988,19630.50392,16116.73004,20949.2511,4675.24677,6107.687627,7438.234481,3161.893089,2923.169248,3268.21869,1972.269201,1740.036385,2095.411291,28911302.86,26057707.82,32618028.35,8031.602949,8939.359089,10022.88718,23.84124065,18.27236222,21.0870173,64227.82378,51875.87155,64227.82378,1326.145255,933.1518492,1326.145255,292.2474736,236.9698841,292.2474736,,,,,,
1990,,,,,,,32126109.59,56725165.39,25879548.54,12802.18864,22075.48963,12120.04454,4860.298473,6506.7481,5193.988051,,,,8384.305017,6328.541385,2947.154282,3016.202188,3194.22975,2972.00244,,,,34132389.64,38075566.94,32591497.05,,,,4.289189743,22.667129,9.471693622,,,,,,,,,,,,,,,
1991,,,,,,,29921761.09,53591163.88,23995033.33,11733.85571,20090.97124,10500.08202,4906.234659,7271.786157,4386.684027,,,,9071.43074,7031.035531,2682.641605,2177.225553,2359.022914,2097.282787,,,,27683231.84,31813306.42,24896265.36,,,,2.914182888,18.9168413,7.605152818,,,,,,,,,,,,,,,
1992,,,,,,,28222367.17,51133748.21,22099923.2,12560.56666,21645.99172,11113.98709,4765.215306,7179.232062,4156.050646,,,,9442.62687,6757.172093,2537.127985,2354.446482,2593.349283,2260.71489,,,,26384312.42,31155583.99,23116639.57,,,,2.692166074,18.26525602,7.19262909,,,,,,,,,,,,,,,
1993,,,,,,,28043336.82,48281622.79,22456898.08,10940.63591,18981.90335,9140.470707,4148.3889,6419.283329,3390.326887,9813.622874,10675.35044,8272.262814,9611.414691,7512.412273,2688.264859,1821.291297,2063.881421,1704.649009,858.6137564,2075.345415,705.3409553,27414121.78,34648048.26,23347735.76,,,,3.436398029,20.54619449,7.621094458,,,,,,,,,,,,,,,
1989,,,,,,,,,,18943.4546,34591.10948,17857.01489,,,,,,,,,,3432.372054,3720.198357,3365.394915,,,,38660787.72,45022809.84,36337873.61,,,,6.146426907,28.54584035,10.98848297,,,,,,,,,,,,,,,
