,,Total demand,Scrap demand,Scrap supply,Conc. demand,Conc. supply,Mean mine grade,Mean total minesite cost,Mean total cash margin,Old mine prod.,New mine prod.,Old mine grade,New mine grade,Old mine cost,New mine cost,Old mine margin,New mine margin,Number of operating mines,Number of mines opening,Number of mines closing,Ref. demand,Ref. supply,Sec. ref. cons.,Direct melt,Spread,TCRC,Refined price,Refinery pri. CU,Refinery sec. CU,Refinery SR,Pri. ref. capacity,Sec. ref. capacity,Pri. ref. prod.,Sec. ref. prod.,Additional direct melt,Additional secondary refined,Additional scrap,SX-EW supply,Primary supply,Primary demand,Mine production,Collection rate construction,Collection rate electrical,Collection rate industrial,Collection rate other,Collection rate transport,Old scrap construction,Old scrap electrical,Old scrap industrial,Old scrap other,Old scrap transport,Old scrap collection,New scrap collection,"Construction demand, global","Electrical demand, global","Industrial demand, global","Other demand, global","Transport demand, global","Construction demand, China","Electrical demand, China","Industrial demand, China","Other demand, China","Transport demand, China"
17,2013,14870.15323107246,2385.723115226377,2217.1768459372697,12871.752008398207,12374.15301006643,6.736421851251567,886.8016716334822,1361.8945082033458,445.6827761747396,11928.470233891694,7.431146536491695,6.71046489111135,736.4848344718617,892.4179513389596,1466.9133120820252,1357.9706964198183,326.0,0.0,0.0,14870.15323107246,15104.717951662014,2385.723115226377,0.0,547.4836155656832,122.7158974170504,2368.0307822730574,1.0,0.8784847170603143,0.3618917955694155,8578.275758194059,7429.204022248083,12742.8520675879,2361.865884074113,0.0,0.0,0.0,0.0,12544.96531827466,2325.187912797802,12374.15301006643,0.292796615557102,0.2800663279241843,0.241875465025432,0.1400331639620921,0.3309874784558543,345.24233797372415,403.3476589585975,170.27498576123403,189.8512514393428,736.7067810275595,1845.423015160458,371.7538307768119,4357.099979966884,3214.8495968106254,1232.778564679898,2130.154499706154,3935.270589908901,975.178001944683,573.8024457813966,308.72396348000984,358.54528100813366,1097.986457618878
17,2014,15530.736981115995,2408.0644445028565,2339.455229717329,13542.091554169416,15893.59847215322,5.85682438744134,931.5847427405328,1255.1399987372877,493.01347485894286,15400.584997294283,7.499518340885807,5.804237407514299,746.8961626834829,937.4971128639202,1424.411401363198,1249.7211732564697,359.0,0.0,0.0,15530.736981115995,15790.536611747886,2408.0644445028565,0.0,511.1550398366232,120.1631920318662,2335.9621531662187,0.9775560102609056,0.8700677706841714,0.3468386102645273,9121.799007625345,7899.921591219115,13406.55281169006,2383.983800057828,0.0,0.0,0.0,0.0,13185.976554266816,2344.760426849178,15893.59847215322,0.2997142814441427,0.2866832257291798,0.2475900585842917,0.1433416128645899,0.3388074485890309,363.3274206506768,424.9132995205229,179.69963083031138,200.36843770674284,782.8780164811758,1951.1868051894296,388.26842452790027,4626.668184422948,3400.3255261823538,1285.418223013111,2217.5188513534117,4000.806196144172,1044.8613460378044,609.6608584272785,324.216292090066,378.72452899397615,1092.0318758359754
17,2015,16252.097368451194,2577.199852349723,2406.872839672834,15632.159948035754,16605.659536617746,6.279120430719523,931.1784918300576,1231.641646321793,529.6120912919987,16076.047445325756,7.571718749389716,6.236536847840735,757.1695795424534,936.9110715735249,1380.5966493096707,1226.73444690545,398.0,0.0,0.0,16252.097368451194,18027.071142707555,2577.199852349723,0.0,494.12025275180815,125.1436102621894,2302.444272840814,0.983722295755374,0.875828027185331,0.3250895251176771,10347.113077764969,8961.103170711132,15475.643288881329,2551.427853826226,0.0,0.0,0.0,0.0,13951.887113512666,2300.210254938526,16605.659536617746,0.297310758966691,0.2843842042290085,0.245604540015962,0.1421921021145042,0.3360904231797376,370.5480777179802,433.9180846821141,183.8825797331608,205.0074049600852,807.2142583682135,2000.570405461554,406.3024342112802,4944.851834502153,3548.669785637457,1361.116661942942,2362.0731933552747,4035.385893013368,1094.4356405513702,646.0165862829691,338.24326507200425,408.5655393815536,1117.8131046693395
17,2016,17830.244393453155,2411.354944710728,2497.076675563625,15287.102107021035,18390.60711031424,6.4052414789512175,943.1436236713266,995.0547407409368,551.4175406637368,17839.1895696505,7.647342335764673,6.366847571142444,767.2950308049667,948.579184419698,1171.6488134884971,989.596136867143,448.0,0.0,0.0,17830.244393453155,17521.273038819567,2411.354944710728,0.0,437.2512640546882,120.34646289608531,2103.6449924819376,0.888316291754582,0.8440083511598161,0.3018287050013854,10820.48606861056,9371.067203897454,15134.031643555943,2387.2413952636207,0.0,0.0,0.0,0.0,15400.906216403311,2429.3381770498413,18390.60711031424,0.2947841282762621,0.2819674270468591,0.2435173233586511,0.1409837135234296,0.33323423196447,377.7422466741608,443.0434258872969,188.1728903098661,209.70295141202783,832.6590514439443,2051.320565727296,445.7561098363293,5477.4579629569525,3842.113695366161,1486.9615184664913,2593.5798580653523,4430.131358598197,1202.5380726320586,691.6739241616865,369.0939736326221,454.4667794801308,1275.8526068865824
17,2017,19315.37295827476,2654.196857259849,2495.0380888676623,17550.100587109395,18778.954136983743,6.210157792595587,972.7750870298698,1037.0141472123992,497.5038249218552,18281.45031206189,7.69406497210297,6.169775356572619,779.573316406471,978.032800079222,1191.5396813657037,1032.8089532602194,490.0,0.0,0.0,19315.37295827476,20001.985489151037,2654.196857259849,0.0,454.7693833591465,128.73059587908165,2135.9255418129874,0.9306187657806052,0.8631907714711068,0.2949074279337751,11918.827738896844,10322.28450964788,17374.33060046378,2627.6548886872506,0.0,0.0,0.0,0.0,16777.918153692637,2537.4548045821234,18778.954136983743,0.2794767223599984,0.2673255605182592,0.230872074993042,0.1336627802591296,0.3159302078852155,368.2313919461715,432.7209170179686,184.2241443618096,205.16421601334383,821.8130955714993,2012.1537649107927,482.8843239568695,6002.471891971039,4125.5445734093,1635.2697638098828,2822.3903417925603,4729.696387291979,1348.083363960387,737.7523649117431,406.3165787439037,500.29911129062674,1373.9315491036132
17,2018,20317.94793404876,2606.2065900460902,2609.292146035088,18346.506760886856,17696.89944072425,6.057049184654477,981.6268239962186,948.0882196919353,440.6851975643385,17256.214243159906,7.887302011549812,6.010308612403361,785.0810472406774,986.6461644633366,1122.0796931217849,943.6448657927252,521.0,0.0,0.0,20317.94793404876,20742.825644890683,2606.2065900460902,0.0,423.1158581134172,128.93305651392282,2071.907444938246,0.905589056819888,0.8558572634141097,0.2763593496782116,12595.81427135801,10908.587772883977,18162.68112074505,2580.144524145629,0.0,0.0,0.0,0.0,17790.652810357413,2527.2951236913405,17696.89944072425,0.28200134727726,0.2697404191347702,0.2329576347073016,0.1348702095673851,0.3187841317047285,382.06701601033626,450.020502381022,192.0439314587568,213.7207575911941,863.4912402425596,2101.343447683869,507.9486983512194,6361.612406659115,4307.736598491146,1745.3382500507637,2988.622146797303,4914.638532050431,1444.160440677714,773.9628845723112,435.2745127642562,535.9551229158043,1478.3539687655282
17,2019,21666.00725532392,2616.3167269859014,2678.169767132136,18055.90163460408,18013.417616473344,6.540081194194463,992.591882305266,902.9407097787672,445.53251193335046,17567.88510454,7.371724440670903,6.518990203307957,815.3918794570285,997.085784782074,1054.692147891664,899.0921987593922,563.0,0.0,0.0,21666.00725532392,20465.05027106142,2616.3167269859014,0.0,417.8255516208523,126.0283571189272,2034.8863141050456,0.8809378146125822,0.8461627455294759,0.2787111599424542,12681.626873671135,10982.9056600952,17874.896711345376,2590.1535597160423,0.0,0.0,0.0,0.0,18923.854899286714,2742.1523560372016,18013.417616473344,0.276979050480504,0.264936483068308,0.2288087808317206,0.132468241534154,0.3131067527170914,385.9000270662808,455.7866061210047,194.93817373937603,216.8322850794465,883.0624937429286,2136.5195857490367,541.6501813830985,6834.737284432872,4547.924082222467,1888.0809851623496,3208.1456226127384,5187.119280893492,1567.6155950297614,808.1752959157093,472.4842857543029,581.7716544878024,1570.992929464116
17,2020,22367.350648905864,2868.6049604087048,2747.6338286609835,19758.011525303085,17467.497066224518,6.928885603470074,997.1782589777092,1038.855266414268,471.9776878496832,16995.519378374825,8.233270259662133,6.892661911778752,836.071786634145,1001.6523005542846,1139.0238134445954,1036.0735144612927,577.0,0.0,0.0,22367.350648905864,22399.893882710552,2868.6049604087048,0.0,441.8487321498768,130.01387460544473,2138.532090311829,0.936134707127552,0.8657920066118765,0.2850686829499844,13286.193595681603,11506.489845248869,19559.974971905933,2839.9189108046176,0.0,0.0,0.0,0.0,19531.55765698214,2835.792991923725,17467.497066224518,0.2740456878357968,0.2621306579298925,0.2263855682121798,0.1310653289649462,0.3097907775535093,392.6675452741623,465.2795057738642,199.38338655878164,221.70848371487676,909.4111411166512,2188.4500624383363,559.1837662226471,7084.161330660103,4672.139680953348,1962.8099163514464,3322.613087936544,5325.626633004423,1638.7843571204637,817.8171493348151,493.9347751670501,608.1837217067243,1620.229525586549
17,2021,22969.157523985214,2870.1569635967658,2907.232886347853,19596.47373712501,15311.58718693195,6.926547806383959,1019.878562006418,985.446963279458,240.7465090114704,15070.840677920483,8.449499257134562,6.902219684748427,795.626237321424,1023.4608415526886,1174.7736127965482,982.422597823796,555.0,0.0,0.0,22969.157523985214,22241.536192102845,2870.1569635967658,0.0,426.5188428513929,125.0173706332408,2135.825157929218,0.9175275267557916,0.8564551271667598,0.2857876340510543,13404.496754227132,11608.94613437802,19400.080798142048,2841.455393960798,0.0,0.0,0.0,0.0,20034.745261380955,2934.4122626042595,15311.58718693195,0.282204518318162,0.2699347566521548,0.2331254716541337,0.1349673783260774,0.319013803316183,415.882003596498,494.6381330244246,212.2783299297581,235.9628699197521,974.2426117777892,2333.003948248222,574.2289380996308,7291.369095636295,4752.257021002472,2025.0509792094708,3417.4215452856656,5483.058882851311,1698.432592060166,823.5088494783515,511.9129413522716,630.3203044494398,1665.8733937410657
17,2022,23832.954552673,2996.513169540885,3008.9653962611937,18755.224841318097,16219.82459425487,6.559915567131688,1020.2806994372622,1060.5444997219608,332.4510080196747,15887.37358623519,7.816587718653234,6.533619092056311,836.4314699855142,1024.1278338502043,1196.2870454111276,1057.704021029837,552.0,0.0,0.0,23832.954552673,21533.83735557861,2996.513169540885,0.0,440.06860162698393,117.87001456256633,2196.569741093941,0.9151604611297484,0.8500738178828103,0.3090112583627099,13040.017084058536,11293.289013066931,18567.28931773313,2966.5480378454763,0.0,0.0,0.0,0.0,20549.67515398392,3283.2793986890765,16219.82459425487,0.2819935206862372,0.2697329328303136,0.2329511692625436,0.1348664664151568,0.3187752842540071,427.4461619192462,510.5843844990045,219.32117407284505,243.6003361509603,1012.189475802312,2413.141532444368,595.8238638168256,7568.806631262235,4869.868122109183,2107.423036853785,3545.239608714766,5741.617153733032,1773.2967870487146,836.0252799716695,534.4772458985424,658.1038163757539,1746.9172392219969
